wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
Nw3cHD4WO,https://weibo.cn/comment/Nw3cHD4WO?uid=1744781081&rl=0#cmtfrm,:在自己微博搜 阿信 才发现自己写过关于《rose少年》真相的几千字微博被ban了，把被ban的事发出来又被ban了。不知道哪里是ban点。好吧。简单地说，《rose少年》是蔡依林 阿信 作词（至少署名是）。而原型故事根本不是他们想让你以为的那样。totally谎言和ZZ操作。只要你去看纪录片就会发现自己被愚弄了。 简单地说，叶没有死于因为所谓X少数而被霸凌迫害，叶是自身疾病独自在学校卫生间撒尿时昏倒，头砸到地上形成致命伤，之前在家中半夜撒尿时也发生过失去意识倒地。他没有得到及时救助恰恰是因为他家向学校争取到的特权害了他。他是个男生，有申请到上女厕所的特权（请问在这件事上谁考虑过这个学校的女同学），而且是可以上课后请假去。导致他独自倒地时厕所没人而且很久都没人，因为那是上课时间。 他是被那些ban ban ban的名字和阵营消费的，误导成另一个故事（大部分人看那种误导烟雾弹的印象可能是一个娘的少年被同学排挤在男厕所被男同学们活活打死满地是血），属于 ban ban ban的基操，包括蔡依林阿信，他们知道自己在吟唱什么,2023-12-07 19:00,123,397,0,,,
NosEXFimr,https://weibo.cn/comment/NosEXFimr?uid=1744781081&rl=0#cmtfrm,我只是去豆瓣瞅了下，心里好奇了一下作者，小红书就能给我推送当事人。小红书屡屡读心才18岁就如此清醒，不被PUA，后生可畏。再过十年，年轻人长大，中国会有自己的作者电影吗 （现在不是高仿美国商业片就是抄袭日韩片，吐了，还不如印度电影有自己的东西）#浪漫的断章#  [组图共4张] 原图 ,2023-10-18 21:06,528,308,0,,,
NvW9Uil5r,https://weibo.cn/comment/NvW9Uil5r?uid=1744781081&rl=0#cmtfrm,:#阿信回应#  忍着绿茶味看完（是不是代笔还难说），最不能忍的是这种针对用户画像精心设计的定向狙击，最广大最普通还能掏出票钱的平凡人一定经历过这些场景：星空、高考、同学聚餐、失恋、海底捞……就像廉价啤酒的文案分镜，专门为你这样的最普通平凡广大人定制，手段不可谓不肮脏；你被狙击的时候就是案板上的猪肉，缅北情人眼里缺爱的提款机，缅北向你把什么包装成了爱情，他就把什么包装成了青春。可悲，对普通平凡的傻瓜来说，世上最了解你内心的人是诈骗犯。 Ps 最后三段险恶洗脑文字，是出事后的吴亦凡最适配,2023-12-07 01:04,339,132,0,,,
NuZsMuheP,https://weibo.cn/comment/NuZsMuheP?uid=1744781081&rl=0#cmtfrm,虚假的女性电影：现在上映的那些真实的女性电影：  原图 ,2023-11-30 19:39,273,129,0,,,
NbkSmqCfy,https://weibo.cn/comment/NbkSmqCfy?uid=1744781081&rl=0#cmtfrm,:续前：能发文后让陌生人转述者吓得附加说“我不是否定她的感受啊”，可见该作者情感道德上训诫和绑架的威力。其实很多女性都在PUA周围人、靠此生存，根据PUA到的范围大小，如果有能力PUA到同学、朋友、同事、领导你永远是对的、你是有能力的、别人都是辜负你的、万事得听你的，那就升官发达了。我认识的阿姨只会小红书作者那浅浅一招，所以，只能PUA到丈夫和孩子，和其他人都闹翻了。持此制服武器者，寻觅对象时就是寻觅能配套的角色，所以她丈夫本就是一个在童年家庭中被压迫的受气包，在婚姻中继续延续自己习惯的童年模式。所以，一点不意外小红书作者的丈夫会配合她检讨和惩罚自己（把自己也锁起来），因为婚恋配对时这样的女人就会找这样的男人。我认识的这位阿姨的丈夫和孩子，过得生不如死。孩子说家里像冰窖。几十年没有一点家庭的温暖，只有日复一日被训诫和操控，被迫在夺命连环压力下表忠心、表配合。像小红书作者这样年纪轻轻就以自己不舒服、做噩梦、焦虑来操控训诫丈夫的，等变成中老年女性更以很多老年女性惯用的身体不好、焦虑抑郁来操控亲人了。因为我是故事中孩子的朋友，所以见到了窒息的微信对话：如果孩子不能及时回复、表忠心、表听话服从，这位阿姨就说十多小时无法入睡无法进食，自己活着没意思，纯粹是为了孩子活着。是的，中国版母女的故事，像某些欧洲电影，只不过中国有自己的版本。大部分人生活中并不会读取这种女性的真面目，不会知道她家庭里的细节和真相，我却要被迫直视。因为失道寡助得罪光了亲友，所以遇到状况时是无援的局面，很大的事故甩锅给孩子，最后还是作为孩子的朋友的我（毕竟这是我亲爱的朋友、被她母亲操控得几乎没有朋友来往和求住的人）以隐形人的身份承担了一部分。因为我暴露存在的话，就会被这位阿姨测试是否会被她这套所控制住、如果不能、她则判定我是坏人、训诫她的孩子不得与我来往。（她家的亲友也是同等待遇，每个不受她操控后都被她使心眼抹黑、诱骗孩子不得与那种坏人来往。我们请去帮忙的专业人士，第一时间也要受这位阿姨的服从度测试，要答应很多过分的指令，忠犬一样配合。她根本不在乎她的奇葩行为会失去很多，她只在乎她能控制住的！）。因为这位小红书作者的“瞬间操控陌生网友必须支持她否则就是没心肝的坏人”行为，令我回到那段一边窒息一边尽力的日子，可怜我的朋友，一辈子都被毁了。就像COCO李，很多人的人生从她母亲就决定了，每一天是痛苦地爬行前进一天、多一天而已，根本没有开心地站立行走、根本没有被治愈翻盘的可能性，也不知道求救！这种受虐者也缺失诉说的能力，像李家女儿一样只会反复公开场合说我爱我的母亲、她为了我们很不容易。如果我说出真相，人们会说我污蔑一个伟大的母亲。,2023-07-24 13:23,104,70,2,,,
NoU1IESsF,https://weibo.cn/comment/NoU1IESsF?uid=1744781081&rl=0#cmtfrm,:有的父母不如没有。表面上的父母健在，有给钱，有来往，演给大家看一家人……不代表他们尽到父母的义务。比如最近被网友议论分析全家表演父慈母爱、其实打小待遇宛若孤儿的（其实他家那些事一直根据公开信息可以推测真相）郭家麒麟，比如大家只知道被胡瓜巨额送去瑞士贵族学校的胡盈祯，但其实她打小过得孤苦伶仃，有爹有娘不如没爹没娘。长大后独自全麻开刀、女儿没任何亲人（爸爸妈妈弟弟都不管她）伸手帮带一天只能呆在她病房里，在病房里小祯心凉透透，想到死然后又决心为了女儿活下去，去减肥努力过活……这样的人生怎么可能没有动过自尽的念头，这样的人要支撑自己有活下去的念头都要费好大劲。如果知道小祯父母对她多差劲，就不会看李进良是渣男，相反至少阿良是伸手拉她一把的人。Coco也是一样。 这些家长就是虐待，精神上没有给孩子生的可能性，孩子想要活下去得很费力去抵抗被施加的趋死的力，很累很扑棱。25年前看Coco采访她打小就有死亡倾向，自言从小对shi体感兴趣，原本想从事的职业是法医。 把几个女儿都推去参加选美的妈妈，什么算盘无需多说。要求十几岁的成绩不错的女儿去走捷径各种演出，参加唱歌比赛，参加选美比赛，要女儿穿得尽量少。Coco的演出服都是面料薄而贴身尽显曲线的，大家习惯了她的性感形象却忘了这是不正常的，因为她妈妈从小洗脑她要尽量少穿一些去取悦观众，所以即使是小地方冬天拼盘演出别的歌手穿羽绒服她也是坚持冻着只穿贴身裙。几个女儿在正常采访时都要突然说妈妈很爱我们妈妈很辛苦我们要孝敬她。洗脑、操纵、性化、剥削、控制女儿，还有她家的经济分配问题，不对劲的程度，不用多说了。海外华人论坛说得对，在中国这孝顺的土地，在一个还维持着孝顺的家庭，在当事人是高龄老人，真相不允许被谈论。 星光陨灭时我没有发微博，因为那是人家的私事，是悲伤的事，赴死是几乎被她妈妈注定的事，我不适合拿已经无法挽回的悲剧做谈资。但现在这位星妈觉得自己还可以延续几十年的那套，无法操控女儿之后，来操控全社会，上演各种drama……现在我可以说我不接受。,2023-10-21 18:47,208,63,0,,,
Norditdhm,https://weibo.cn/comment/Norditdhm?uid=1744781081&rl=0#cmtfrm,终于知道繁城之下这个高帽子别扭在哪了，这个帽子这个衣服这个脸，好像顾城回魂  原图 ,2023-10-18 17:25,156,56,0,,,
Nl7hqnqIX,https://weibo.cn/comment/Nl7hqnqIX?uid=1744781081&rl=0#cmtfrm,看到图中里外里的这些年你能想到的高曝光的大陆中年男演员群像清单，我：为什么他们不性感？香港同年龄段男演员群像，黄金一代，越老越性感，精神，charming  原图 ,2023-09-26 21:10,225,53,4,,,
NseqEmDN0,https://weibo.cn/comment/NseqEmDN0?uid=1744781081&rl=0#cmtfrm,“1966年，“文革”开始。此时王小波14岁，正在二龙路中学读初中。一天下午，他亲眼目睹了隔壁学校的副校长被学生活活打死，头上插满图钉的惨状。那时他对眼前的一切都感到陌生，想不明白平时一个个要好的老师同学，变成了各自恨之入骨的敌人。”这说的是卞仲耘吧。想不到这里有联系起来。  ,2023-11-12 16:14,53,41,1,,,
Nb1BMh8x8,https://weibo.cn/comment/Nb1BMh8x8?uid=1744781081&rl=0#cmtfrm,我小时候的火车站文学、路边摊小说、租书屋小说的无名作者，在这个年代叫晋江大大、太太，还有死忠粉丝群、还能被批判、还能成名人、成影视剧原作者、还能上热搜斗嘴个八百回合重生之路边摊小说还是路边摊小说嘛  ,2023-07-22 12:20,82,37,1,,,
