wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
NbVDEcMCS,https://weibo.cn/comment/NbVDEcMCS?uid=1804943792&rl=0#cmtfrm,抑郁症的最大外部成因，源自童年的家暴与情感虐待，毁坏了人格形成关键期的“身心边界”，被注入“我不好”“我不配”的负性信念。抑郁者的身心边界是脆弱的，对于外部侵入的反应在麻木混沌与极度敏感之间剧烈摆荡，自我极易崩塌。  ,2023-07-28 10:59,1074,309,16,,,
NhoDAq9tn,https://weibo.cn/comment/NhoDAq9tn?uid=1804943792&rl=0#cmtfrm,我妈到晚年时有了很多领悟。某天她恍然大悟“原来对不喜欢的人，就可以不来往了。原来是这样简单啊！”她几十年忍受某些人的盘剥，无力拒绝侵入。假的自我吞噬了她的真实自我，几十年的忍耐没有得到任何利益，只是换得身心煎熬。当她活出一些真实，那些恐惧就不攻自退了。真实自我，就是力量来源。  ,2023-09-02 10:00,354,87,21,,,
NinFheYmF,https://weibo.cn/comment/NinFheYmF?uid=1804943792&rl=0#cmtfrm,痛苦不堪的原生家庭。照料者对孩子是贬低羞辱忽视抛弃，而又道德绑架情感勒索孩子，让孩子处于卑贱屈辱被控制被奴役的位置，同时又为逃离原生家庭的想法行为愧疚自责。于是一次次想逃出去又被恐惧和愧疚逼回来。这样的原生家庭出身，长大后对他人的依恋亲密总是会导致失去自我，丧失尊严的受虐体验。  ,2023-09-08 21:22,144,64,9,,,
NbXlxrcvD,https://weibo.cn/comment/NbXlxrcvD?uid=1804943792&rl=0#cmtfrm,抑郁者容易被欺负。抑郁意味着能量低迷，会向外发射“我不好”“我卑微”的无意识信息，于是会和身心边界同样薄弱，内心冲突很大的人发生能量纠缠。对方内心也有同频共振的“我不好”负性信念。对方为了压制内心的负性信念，证明自己是好的，就会对抑郁者释放敌意，刻意表达“是你不好，不是我不好！”  ,2023-07-28 15:20,120,61,7,,,
NaKXGfNkA,https://weibo.cn/comment/NaKXGfNkA?uid=1804943792&rl=0#cmtfrm,抑郁是身心被他者入侵，浸泡在外界的残忍杀戮中，逐渐丧失了生命活力。就像被病毒吞噬了自身的免疫力，不再能捍卫身心边界。每个人都可能会抑郁，被他者的残忍攻破了防线。越善良听话的孩子越容易抑郁，身心边界意识不强，更容易中招。  ,2023-07-20 17:58,162,60,5,,,
NeoYMrf8c,https://weibo.cn/comment/NeoYMrf8c?uid=1804943792&rl=0#cmtfrm,残酷的原生家庭，会灌输给孩子错误信念：被需要、被认可，才配活着。一生最怕自己在他人眼里是没用的存在。如果总是在家被骂被打，被虐待的位置，那么所习惯的就是处于共生关系里的受虐角色。  ,2023-08-13 17:21,155,44,3,,,
NgxoDDFEf,https://weibo.cn/comment/NgxoDDFEf?uid=1804943792&rl=0#cmtfrm,如果人从小身心边界不被尊重，长大后不知道如何保护自己，就容易沦为被动。徒劳期望被无条件温柔善待。于是在关系里呈现出脆弱易碎的面貌，仿佛要依靠他人的怜悯才能存活，然而却会激发脆弱同类的鄙夷，现实是不够爱自己的人总是嫌恶更加不爱自己的人，缺乏边界的人会攻击边界更虚弱的同类。  ,2023-08-27 18:27,67,25,1,,,
NaxKfrPmg,https://weibo.cn/comment/NaxKfrPmg?uid=1804943792&rl=0#cmtfrm,童年被要求绝对正确，一点都不能犯错的人，是被父母抛弃和囚禁在“对错”中，不被看见和理解。一直追求正确，一直孤独无助。特别害怕犯错，特别害怕抛弃。仿佛做错意味着要被杀死抛弃，做对才有免死牌，才配活着。  ,2023-07-19 08:19,51,22,2,,,
N74AHgRRj,https://weibo.cn/comment/N74AHgRRj?uid=1804943792&rl=0#cmtfrm,母亲对女儿的嫌弃，往往是因为把自厌情绪发泄给一个更弱小的生命承载，让她做自己的替死鬼。  ,2023-06-26 12:35,43,20,1,,,
Nfh8q4gyh,https://weibo.cn/comment/Nfh8q4gyh?uid=1804943792&rl=0#cmtfrm,很多人被培养成讨好型人格，从小到大感受不到尊重，被迫讨好顺从于关系，完全依靠外界的正向反馈才能存活。为了换取肯定的评价，不断牺牲自己，导致身心边界被肆意冲垮，迷失自我，在人世受尽折磨。  ,2023-08-19 11:13,29,19,0,,,
