wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
NbjCjt2b3,https://weibo.cn/comment/NbjCjt2b3?uid=1829202464&rl=0#cmtfrm,:在外面社交/吃饭，我只要多观察下一对夫妻，很快就能看出关系中的剥削，举两个例子：第一个是女人走在路上总喊着让男方等一下自己，男人只有在女人喊得厉害的时候停下来等一下，女人不喊，就一直这样走在前面不等女人，这个模式甚至可以持续几十年，而为什么女人要一直喊，明明知道男人走路就是不会等自己还是要一直喊，因为这个表达从来没有被对方接住过、看见过。第二个就是饭局上，如果女人已经当众生气，这个男人会敷衍地演给众人看，当众认错、哄老婆，让大家都看到这个男人多么有风度——会当众认错，而这女人这么无理取闹，这么多人在都不给自己老公面子。。但是会能量解读的人就分明能解读出这个男人的敷衍，心里并没有真正的同理心、共情，这种敷衍伴侣的操作早已成为惯性操作，以及想象出平时在家里怎么敷衍这个女人的需求，所以导致女人长期憋着一股怒火，甚至会当众发脾气。（最后证实，这个女人得了癌症）不是说你们结婚生孩子了就是家就是伴侣，恩格斯在《家庭、私有制和国家的起源》里已经非常清楚揭示了婚姻的本质，伴侣和家人是“相互”扶持的，这才叫伴侣和家人，而不是一方各种放飞自我，另一方都去包容容忍，而另一方的诉求都被拒绝/忽视，这不叫伴侣/家人，这叫剥削关系。,2023-07-24 10:11,2312,478,28,,,
NcGrmu5L5,https://weibo.cn/comment/NcGrmu5L5?uid=1829202464&rl=0#cmtfrm,:我有两段亲密关系都有一个非常共同的玄妙之处：我想去哪里旅游，对方要么不回应，要么找理由这不行那不行，或者干脆放在未来（画饼），但是他们去的地方我都陪着去了，然后我就以为他们确实不喜欢这些地方，不想去。那么接下来就很有意思了，分手后，他们第一时间/第一个去的，就是我一直提但被拒绝的地方，甚至是那种长程的远途的需要半个月的时间的，一个是和哥们儿去，一个是自己去……而且还给我看见、告诉我。我那时心想的是：这就是故意的！表达对我的恨。但是最近我的觉知更加清明了，加上这种经历不是偶然，在其他关系中也有，所以我更倾向于他们是无意识的行为，我提出的这些地方并非他们真正不想去，——而是他们不愿意满足你，刻意的制造不满足，也是父母对孩子常用的，这是一种操控/PUA的方式，那么在亲密关系里，男人通过刻意不满足、推拉对你进行控制，拿捏，权力斗争——只能我拿捏你，你不能反过来拿捏我（因为他们潜意识就设定关系是你死我活的生死较量，而不是平等的亲密和融合）所以，我去的地方你要满足我，你想去的地方我都不会满足你。要注意：友谊也会这样，当你发现对方的需求你都满足，你的需求对方总是这也不行那也不行，有这样那样的限制，就要警惕。这里面深层的原因，除了上述的操控，还有一点：这个人，在对抗母亲。因为没有完成和母亲的精神分离/病态纠缠，内在一直有这部分的对抗能量，所以在关系近了之后，会触发，他们自己未必有意识，但是就是要对抗，你的愿望，你想被满足的部分，他们就自然升起对抗。所以这种关系是非常累的，你要承担他们的弑母动力。所以和未能弑母的男人进入婚姻是不会幸福的。因为他心里的这个对抗能量就是在，他就是不愿意满足你。还不是自私那么简单。因为在关系前期就不会，否则你一开始就不会继续进入关系了，一开始就下头了。,2023-08-02 10:08,1310,377,51,,,
Nh7tXfgYp,https://weibo.cn/comment/Nh7tXfgYp?uid=1829202464&rl=0#cmtfrm,:曾经，我看心理学博主说，一些成功/中年男人，就找那种涉世未深的小姑娘/学生/年轻女孩儿，然后这些人来咨询的时候，已经干枯枯萎了，我长跑恋爱的时候，男方接近我的时候正是我对未来充满了憧憬，对社会了解甚少，进入丛林没多久的新手玩家，但是我那时还是活力满满的，然后几年下来，我已经无法正常生活工作了，秉性全变，一身病，但是对方和我在一起后，事业越来越好，先连升几级，直到那种跳跃式的成功，从他开始连升的时候，眼睛里已经出现了嫌弃，直到分手后，他说我的价值远远配不上他。如果从结果上看，就是我的运气、生命力、能量，好像都转移到了他身上，他的死本能、分裂、抑郁都转到了我身上（PS: 他的前任抑郁症）。玄学里也有类似的一些解释。我没有深入研究。在社会里被锤明白后，有一次和一个大学同学见面叙旧，她说她在商会工作，那里面有一些人，就是专门找年轻女孩/学生，谈完后就给一笔钱，再换。年轻的生命力确实是补品，尤其是对一个年轻并且对爱情、关系充满了幻想、憧憬的人，她可能会用自己全部的心力、热能投入到这段关系中，而对面的那个人，从一开始就知道自己在干什么。,2023-08-31 14:19,1492,205,41,,,
NtUu6c70Q,https://weibo.cn/comment/NtUu6c70Q?uid=1829202464&rl=0#cmtfrm,:所以，你再回顾一下你此生经历过的男人，这个男人，在看到你的天真、纯净的能量的时候，是想要立即得到、占有，还是会克制自己，因为不能给你什么，怕越界后会伤害到你。后者，我只遇到过一个，也是我至今还是会心心念的一个人。别人都想着来分食我，他想着的是要克制住自己……而明明现实中，那些分食我的都是名校毕业，体面人，而他是底层爬上来的，黑白两道规则都熟，按理说，他更属于雄竞领域中的猛兽，经历过更残酷的厮杀，怎么会有这么大的反差和对比，也是这个反差，我才知道男人真喜欢一个女人是什么样子：即便自己是经历过各种残酷厮杀的猛兽，也会收起自己的兽性，变得温柔起来，而男人不喜欢一个女人，即便是个体面温文尔雅的读书人，也会露出最狰狞的一面……多么大的两种反差啊，我都体验了。。,2023-11-23 17:08,619,170,29,,,
NdMD0jwwA,https://weibo.cn/comment/NdMD0jwwA?uid=1829202464&rl=0#cmtfrm,:喜欢上小红书看大熊猫的，其实你仔细观察，大熊猫真的很道家，首先是长相，黑白配，其次是他们的那种自在状态，没事儿自娱自乐，翻跟头，和其他动物真的很不一样，回应人类的时候很像人，然后高兴的时候就发出嘤嘤嘤的声音，舒服的时候四脚朝天躺着，坐在树杈子上还晃小脚，其实这些都属于一个生命“流动”的状态，是不自觉的开心的时候就会这样，一个人可以外在给人很正面很正能量，但如果TA自己一个人的时候是空虚寂寞冷，无聊无趣，憋不住，要向外抓、要社交、要出去旅游、要各种健身房打卡自律，其实就不是一个真正满足的状态，TA就是没办法那么自在的待着，那么TA无论发展什么兴趣爱好，那些都是在逃避面对自己，是僵化的状态，只不过看起来是正能量打卡，这跟一个操作工在工厂杠机器没有本质区别，都是刻板化行为，否则一个人待着的时候会跟大熊猫一样，这摸摸那碰碰，高兴的时候禁不住嘤嘤嘤，四脚朝天躺在沙发上看电视还时不时晃悠腿脚，没事儿就哼起小曲儿，这才是真正的开心的人，像个小孩子一样有那种无缘无故的纯粹的开心，即便没有外人看见的时候。,2023-08-09 15:43,870,165,20,,,
NgcT5mSEA,https://weibo.cn/comment/NgcT5mSEA?uid=1829202464&rl=0#cmtfrm,:昨天看到伊能静和金莎晒甜蜜秀恩爱，那个能量我很熟悉，我是从那个状态过来的，就是缺爱的状态……缺爱不可能从外面、外求解决，谈一辈子恋爱换多少个鲜肉也没用，只能从内在解决。还有就是，人的意识会骗自己，但潜意识其实什么都知道，当一个女人潜意识没有感觉到真正的被爱，就会晒，刷存在感，比如互联网经常艾特自己老公，发自己老公/自己和老公之间的狗粮等等，内核都一样。不等于说老公对他们不好。是潜意识知道自己不被爱，所以drive自己去晒、强调、找观众，表演爱的人始终需要观众。因为没有，所以需要表演。（PS：我说话一直很得罪人，所以从小被群体霸凌）,2023-08-25 14:15,1556,144,71,,,
NeSeWlvKJ,https://weibo.cn/comment/NeSeWlvKJ?uid=1829202464&rl=0#cmtfrm,:对于一个相对正常相对好的男人来说，如果这个男人真的喜欢一个女人（是欣赏为基础，而不是出于情欲），他心里是会有一分敬畏的，这个敬畏就会阻挡掉他的很多越界的/奇怪的言行举止。同样的，如果作为一个母亲，你是内在非常有力量的，非常有威严的，但同时也是慈母，那么你的儿子会对你有一种敬畏，这个敬畏就让他不可能变成那种猥琐妈宝或者渣男，因为你会成为他心中的灯塔，他心中仰望的对象。而不是他潜意识里厌恶，又不得不背负的一个寄生他、吞噬他的外在强势+内在孱弱/媚男的母亲。父亲的力量也是一样的。,2023-08-16 19:51,428,129,6,,,
NhTjXA4wg,https://weibo.cn/comment/NhTjXA4wg?uid=1829202464&rl=0#cmtfrm,:所以，女人往往会误以为男人多喜欢自己：他给我洗袜子，他目送我，我回头看，发现他还在看我他在车里放满了鲜花给我惊喜他精心准备了烛光晚餐他送我大牌的首饰/包包他对我很好……他旅行时一路上什么东西都他拿，都不让我碰，他给我买各种小礼物、小零食，他给我跑好远买早餐，每天给我订饮料，你真正看一个男人，是要看你状态最差的时候，你最害怕、惊恐、无助、甚至卑微乞讨的时候，以及，当你影响到了他的面子/利益的时候，他是怎么对你的，他的面目、他的吃相，他克制自己的程度，他“选择”伤害你的程度。你才会知道，前面的那些小剧本，对一个男人来说，是多么的容易。而后面的，对一个男人来说，是多么难，只有爱你才能收住。这才是你们关系的真实，他对你的真实。,2023-09-05 16:07,426,125,16,,,
NbjwYelRR,https://weibo.cn/comment/NbjwYelRR?uid=1829202464&rl=0#cmtfrm,:女人是情感情绪非常敏感的，和一个男人在一起，无论外在看起来这个男人对家庭多么负责，人设很好，但是只要这个女人变得歇斯底里（向外攻击）/抑郁（向内攻击），那么必然有前面一条所提到的因素，对方不接/不回应你，或者嘴上说说，但没有任何发自内心的同理心/行动。所以为什么说看男人看的是行动，因为嘴上说说/女人闹了就哄两句，只是暂时敷衍了一下你表达的攻击性/情感诉求，但是并没有真正的去接住/容纳你，这种情感关系，看起来没有明显的欺负女人，但实质就是长期的、隐蔽的情感虐待，自私+剥削。,2023-07-24 09:58,333,125,7,,,
NrO6agOS3,https://weibo.cn/comment/NrO6agOS3?uid=1829202464&rl=0#cmtfrm,:判断一个人是不是真的关心你，其实很容易，就是在你需要被回应，需要被关心，或者脆弱的时候，对方对你是什么态度。如果在你需要的时候，不回应/不关心/不支持，在你不需要、状态好的时候又各种“关心”，那这种关心其实是在控制。之前提到过选中你做血包的人，防止你血包觉醒，就是通过ONLY在你状态好的时候给你点好处，给你点甜头，或者是大的方向决定，都围着他转，然后把你拉入他的剧情后，再在中间给你一点小的补偿，防止你血包觉醒。都是类似的道理，都是在操控你。,2023-11-09 21:12,293,112,9,,,
