wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
NvgaMjZOV,https://weibo.cn/comment/NvgaMjZOV?uid=2481431541&rl=0#cmtfrm,:事实证明，当一个职业如果频繁在社交媒体上分享经验，那么证明这个行业离Ponzi就不远了。比如转码，比如咨询。最近发现很多人JD毕业最后都在xhs上做自媒体和中介。我的朋友们大概率都是从事tech行业的对Law这个群体接触甚少尤其是北美JD。掀起中国人读JD热的是一个叫赵丹喵的博主，15岁考上中国政法，20岁读乔治城JD转学去了Yale，毕业后进了华尔街big law，然而她现在热爱给网友当人生导师。现在xhs上这样的人越来越多，名校光环JD但是做中介申请和LSAT辅导。加州男大985说世界就是一个巨大的Ponzi。我只能说在没有掌握生产资料前，无论学历有多高，职业有多光鲜，挣钱都是在做服务业。这个世界上90%的工作本质都是服务和销售。因为如果没有创造新的价值，钱就会在循环的过程中被消耗，按照投资回报比以后工作中挣的钱要远大于读书的钱。只有当中介才能骗更多的人进来才能赚钱，就像传销一样最后会崩盘。,2023-12-02 14:11,787,199,35,,,
NvPsLaz3V,https://weibo.cn/comment/NvPsLaz3V?uid=2481431541&rl=0#cmtfrm,:老中指数：以下7条中了一条就是老中人！快看看自己中了几条吧，我竟然全中！！转发这个老中指数解锁新中人的一生！！老中人思维：1. 凡事都讲究上岸，万事万物都想讲求回报；2. 自我反思的一生，把苦难当做历练；3. 学历至上主义，读书有用论；4. 卷，以吃苦耐劳为荣，男人女人都要雄竞雌竞；5. 年龄/时间/死亡/工作焦虑，人生处处是焦虑；6. 能忍则忍，无法真正接纳自我和平静；7. 幸福恐惧症，配得感和踏实感太低；打卡式旅游像极了老中人的特种兵一生，老中人这一辈子，活得太累太累了。老中人共勉！,2023-12-06 08:02,336,143,16,,,
NtHsaomAw,https://weibo.cn/comment/NtHsaomAw?uid=2481431541&rl=0#cmtfrm,:突然能理解湾区硅谷这边对高中学历的执念了。之前看到某相亲群点名要求知道对方高中学校，我那时候觉得过于toxic。但后来意识到，这可能是VC的一种筛选方式。综上，相亲和VC投资没有本质区别。昨天又和某北美VC喝咖啡，我要收回我之前对于学历的浅薄判断。他透露，在对创业者的背景调查中，他们甚至会追溯到高中经历。如果创业者毕业于美国的顶尖高中诸如：Phillips，Choate，Harker，Deerfield等或者国内：人大附中，上中，深中等等之类的。那么你的reference就会比较高。可见作为早期创始人，学历已经卷到高中了。这种评价不仅源于学校的声誉，还因为这些学校的校友网络层次较高，为毕业生提供了丰富的资源和支持，助力他们的创业之路。如果按照这个发展轨迹来看，小镇做题家在硅谷很难创业。毕竟想要读到上述美国知名高中，大概率家里都不是一般人，往往出身于资源丰富的家庭。显然在这个资本主义典范的国家，连创业也存在明显的阶层分化。 #光头老师创业学#,2023-11-22 07:58,166,46,21,,,
NoJ7v4ovM,https://weibo.cn/comment/NoJ7v4ovM?uid=2481431541&rl=0#cmtfrm,:所谓“见世面”，本质上就是一种消费陷阱。中产家庭的子女们被洗脑认为藤校文凭和“大佬”关系是通往成功的钥匙，是一种通往上层阶级以及见世面的方式，但实际上这只是一场昂贵的中产/小资产阶级提供的消费陷阱。一二线大城市里，不少中产家庭为了子女能进入顶尖学府，不惜花费数百万甚至上千万送他们出国读高中读top美本。即使当你天赋异禀以SAT 1580的成绩以及包装来的小众活动进入某平易近人的藤校时，你会在orientation的时候发现别的亚裔不是家住比佛利山庄就是生日礼物父母会赠送直升飞机或者太平洋小岛，而你则因为疫情原因机票往返超过2k刀而不得不放弃寒假回家的打算。即使上了名校，也依然改变不了你的阶级以及你本身的价值。这才是社会现实。而当毕业后，却发现真正的社会远比学校里的教科书复杂。你的同学学习人文艺术音乐哲学回家继承家业，而你学了这些只能上厕所的时候多几本厕所读物。于是你开始疯狂追求与权贵的关系，希望通过人脉攀升到更高的位置。但大多数时候，这些所谓的“大佬”只是把你当作工具，而不是真正的朋友。这个世界的深层骨架永远是各种有形或无形的深度利益格局，这类信息是真正的高价值稀缺信息，只会在实打实接触到利益操盘方的一个个小圈子里流传。如果你不能通过学校/社会上的资源进入到这样的圈层，那就很难获得有价值的自我提升了。浏览众多社交平台，你会发现很多人沉醉于肤浅的信息，误以为自己洞悉世界，殊不知他们其实仍被局限在浅层的认知中。下次当你打开某个社交平台，看到那些充斥的“大世面”信息时，不妨停下来思考一下，这些真的是你想要的吗？还是只是被制造出来的幻觉？（包括我写的这段文字）个人观点，仅供讨论,2023-10-20 15:01,207,42,6,,,
NvZ0byyxf,https://weibo.cn/comment/NvZ0byyxf?uid=2481431541&rl=0#cmtfrm,:多邻国Duolingo这家筛简历的脚本，只要毕业院校不在他名单里的都默拒。而且把学生分为两档，哈耶普斯麻之类藤本的直接面试，其他学校GPA 3.5。如果你是master研究生，只要专业不是CS也是默拒。学校名单非常抽象：JHU之类的都不在上面，文理学院只有一个Wellesley，还有好多“黑人大学”。NG基本上就是Ivy收容所+diversity hire。建议陆本子们除了大牛随缘投递吧，这家可以放弃了。#找工小知识##多邻国# ,2023-12-07 08:19,188,33,38,,,
NveS3kEyb,https://weibo.cn/comment/NveS3kEyb?uid=2481431541&rl=0#cmtfrm,说实话，当一对情侣开始深度同居（金钱利益，朋友圈都深度绑定之后），大概率是很难分手的。很难有人在同居关系里及时止损，对男女来说都是如此。  ,2023-12-02 10:52,96,33,9,,,
NrHoP9Ric,https://weibo.cn/comment/NrHoP9Ric?uid=2481431541&rl=0#cmtfrm,:暧昧过N+个男人后，我放弃表演了年轻的时候喜欢和男人极限推拉+欲情故纵，和男人推拉本质上是用自己的语言+行动（表演）给男人创造一种暧昧的氛围把他拽进你的世界。我总幻想自己是表演大师一定要在对方面前把人设立好，并期待一定要对方先上头。我以为只有这样，得到的男人才是值得的才是应该的。但是等相处之后又发现，一切都和我想的不一样。拉扯只是拉扯，套路只是套路。我其实也只喜欢那种捉摸不定的未知，实际上我并不喜欢这个男人。以前，我太相信“不经历风雨怎能见彩虹，没有人能随随便便成功”这句话。后来发现苦难都是留给能受苦的人。这句话同样适用于亲密关系。我们其实并不需要轰轰烈烈，爱恨交加，小说电影般的拉扯。坏男人就是苦难，而拉扯就是社会告诉你必须经历苦难的套路。现代社会并不需要歌颂不必要的苦难，而我也没必要非要和一个坏男人演戏才能获得我想要的value。我发现好男人内核稳定，坏男人才喜欢推拉。顺其自然才是王道。一段长久的关系靠的是两个人价值匹配的稳定，而不是几个所谓“有用”的引导付出套路。因此一段良性循环的感情靠的是双方对彼此负责水到渠成。所以姐妹们少看点情感博主教的“捞女/渣女”套路。表演只会吸引坏男人，而好男人则是来到你身边长长久久。好男人的逻辑是这样的。我喜欢你，你喜欢我，我们相互喜欢。不管是谈恋爱前后对你的态度是一致的并且在关系稳定后会更主动投入和付出。不会因为你“物质”或者所要更多亲投就变脸或者觉得价值不匹配，他会选择pua自己降低期待去满足你的“欲望”。好男人只会在有对你负责一辈子的能力下和你sleep，而坏男人则会在和你sleep后立马换个人。好男人情绪稳定不需要在关系里寻找暧昧刺激，因此减少了出轨概率。而那些瞻前顾后的坏男人最喜欢搞忽冷忽热以及底线测试。如果一个男人需要你不断通过推拉才能走入一段关系，那么他本质上喜欢的也不是你这个人，而是这种刺激的氛围和心情跌宕起伏肾上腺素飙升的感觉罢了。渣男本质是不懂得珍惜，不懂得付出。因此早晚会有露出原形的一天。推拉套路只是给男人蒙上一层滤镜让女人分辨不出好坏。,2023-11-09 04:09,90,26,5,,,
NsLcOEAZr,https://weibo.cn/comment/NsLcOEAZr?uid=2481431541&rl=0#cmtfrm,:昨天和某stanford cs phd聊天我：你觉得你读博的意义是什么？如果你有小孩你会让他读博吗？TA:  读博是在比industry更safe的环境训练critical thinking以及挑战“权威”和创新的地方。如果我有小孩，除非他想做教授不然我不会建议TA读博。总的来说想打工的要趁早，毕竟先打工的有肉吃。中间打工的有肉汤喝，而后打工的都没见过肉。#00后男生实习破防吐槽上大学的意义# #深度对话#,2023-11-16 03:40,49,24,0,,,
NwVKSybPU,https://weibo.cn/comment/NwVKSybPU?uid=2481431541&rl=0#cmtfrm,:学生时代里，周围圈子同质化严重，充满了过度竞争（内卷GPA和加分），眼光也特别浅显，思维也趋于线性。越早离开校园接触社会越好。一点点事情放在那个小世界里都特别大，不管是八卦还是工作。但是长大了就会发现，这些放在社会里是微不足道甚至无人问津的。长大不是不重要，而是根本无人在意。#光头佬职场文学#,2023-12-13 13:53,103,21,6,,,
NtcMVp7so,https://weibo.cn/comment/NtcMVp7so?uid=2481431541&rl=0#cmtfrm,":谢邀～昨天参加了UC Berkeley的recruiter and alumni panel for international students的活动，作为HR分享了一些求职要点和方向。个人认为国际学生们比较在意的点还是作为如何高效network（比较针对tech行业）。这里跟大家提几个不太容易注意到的点吧。1. 教授推荐：很多学生认为找工作是自己的事情并不认为学校教授在除了GPA和科研上面也有很多其他方面的资源，但其实很大一部分北美prof要么有自己的startup要么在大大小小的公司担任advisor。如果能够获得来自prof的推荐去到这些公司，那么成功的概率会大大增加。我举两个稍微有点极端的例子，某上交SJTU著名DB方向KOL由于获得了某CMU数据库网红Prof的青睐，因此教授推荐了他去很多公司试试机会，而这些startup本身并不public hiring（当然他本身能力非常强，不需要refer也会有机会）。今年CMU database course也是有Singlestore的赞助，因此今年好些CMU学生都拿到了Singlestore的intern offer。不要忽视来自教授的network，这比industry的机会要好把握很多。2.多多参加相关领域的tech conference抓住一切机会network，我亦无他, 唯手熟尔。每个领域（即使是生化环材但我不懂）都会有自己的会议，大到例如CVPR/ICCV/ICML/SIGGRAPH等这种学术大型会议，也有公司举办的meetup。不管如何大部分的会议都有公司们的booth，到每一个你感兴趣的公司和那些工程师们聊天然后表达自己想要加入的兴趣，即使当下没有立刻合适的机会，但是你出色的communication skills已经给对方团队留下了深深的印象（尤其是startup）。我参加过的每一个行业内的会议，都有学生reach out我找intern/new grad工作。能够关注到行业内动向的学生大概率在能力和水平上应该是有更强的，而且passion和motivation也是更多，这也是很多HR/recruiter更愿意线下认识并且招聘的原因。总的来说，network很重要！同时结合自身兴趣和擅长的点找工作，千万不要盲目转码！第一次聊这个话题，希望不会太aggressive，也希望能够帮助到今年找工作的友友们～#找工作##秋招#",2023-11-19 01:53,64,19,6,,,
