wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
Mn1Dul6n6,https://weibo.cn/comment/Mn1Dul6n6?uid=5826106525&rl=0#cmtfrm,甚至我发出来就被限流。为什么？  [组图共7张] 原图 ,2023-01-06 11:44,11190,1824,155,,,
NnVKLt2oT,https://weibo.cn/comment/NnVKLt2oT?uid=5826106525&rl=0#cmtfrm,当你思考的问题从“我如何存活下来”变成“我如何令接下来的时间变得有趣”时，你可以瞬间把环境从刀山火海变成游乐场。  ,2023-10-15 09:20,5196,892,47,,,
N69QNg0d8,https://weibo.cn/comment/N69QNg0d8?uid=5826106525&rl=0#cmtfrm,“高效”这个词或许本身就包含了敷衍和不情愿的意思，意思是如果有可能你情愿让别人做这些事，你之所以做这件事纯属不得不做，你贪图做了这件事后的结果，但并不享受做这件事的过程。  ,2023-06-20 12:08,874,653,16,,,
MelHSpzdy,https://weibo.cn/comment/MelHSpzdy?uid=5826106525&rl=0#cmtfrm,:主题：了解人情世故的第一步是在内心纵容自己极端任性【感想】通向人心的唯一道路，就是先通向自己的心。很多人从来没有任性、一直隐忍、懂事的人，其实很难真正掌握人情世故。这是因为这些人自己长期处于匮乏、不被看见、不被满足的状态，还经常被侵占边界、被冒犯、被抢夺，但被一些和稀泥的“道理”说服了，不再为自己争取，久而久之，便变得迟钝、麻木、不知道怎样与人相处。因为自己感觉不到痛，所以想不到自己的行为也会刺痛别人，“这有什么，忍忍就过去了，这个时候按照道理不该觉得生气和难受的啊”。因为长期感到自己的情绪和自尊可有可无，慢慢也感觉到别人的情绪大概也和自己一样可有可无，就会在不经意的时候做出冒犯而不自知的行为来。举个例子，如果一个人自己的名字经常被人叫错，但她内心合理化了这一切，觉得“这有什么好生气的呢？”，那么她也会若无其事地叫错别人的名字，并且不理解对方为什么会因为被叫错名字而生气，她那种不当回事的态度，又会进一步激怒对方。一个非常懂人情世故的人，一定是在内心极端任性的人，她对自己的喜怒哀乐都能够敏锐地感知到，会因为各种或大或小的事情开心或生气或哀伤或快乐，正因为她允许自己的情感流动，她才知道怎样的行为可以让人如沐春风，或如堕地狱，她才可以根据自己的诉求，自由进退、如鱼得水。【经验】还是那句话，我们应该意识到自己的心理空间，并且尽量增大它的容量。我们应该意识到，不管多么过激的想法、多么不容于世的念头，它在没有实施或者被表达前，都是无害的，也不能被监控，不能被管理。所以你应该给自己留出这样一个心理空间。在这个心理空间里，哪怕是一场想象中的核爆，其实也是可以被容下的，只要你没有拿到现实里去操作。因此与其立刻用道理去打压、伤害自己的念头和想法，不如在自己的内心尽情地感受和展现它。不管它看上去多么没有道理，先允许它存在，允许它自我表述，允许它展示它自己。在这种体会之中，你开始理解情绪的由来，你因何受伤、因何生气，别人的言行是怎样影响到你，怎样带给你各种感受。小孩脾气其实是人的默认设置。容忍自己的小孩脾气，就会看懂很多人情恩怨的由来。很多人的恩怨情仇理由看着冠冕堂皇、云山雾罩，说白了不过是因为当事人学会了用一些看起来更正当更高级的理由，来掩饰自己最初的小孩脾气罢了。自己保持一颗童心（但要分场合考虑如何展示)，很容易看明白人与人相处的根本动机；容易被得罪的人能小心避开别人的雷点；容易被讨好的人也容易让别人快乐。当然个体差异确实存在，但总的说来，如果确实经常被反馈不懂人心，自己又想要在这方面有所提高，可以做以下的步骤，来增加自己的情绪感知力，打开为人处世的第一步：1学会设立一个心理空间，在这个心理空间内，只观察和表达情绪，但不要着急实施。因为接下来要请你尽情地释放情绪，所以这一步很重要。有了这个心理空间的缓冲，你就没有必要时时绷着一根线，检查自己的思想有没有不合规矩——因为这样的话，你还没有彻底放松，很多情感会被扼杀在萌芽阶段，最后你啥也感知不到。2及时察觉到自己的负面感受 我观察到大部分人从小多少都有点受压抑。有人只能体会到愤怒的感情无法体会伤感，有些人能只能体会到伤感而无法愤怒，多半都和从小家庭对某种情绪的压抑有关系。还有些家庭甚至压抑所有的负面感情，只允许特别“阳光、正面”的感情存在。但实际上人一旦有了挫败感，不管你怎么否认，负面的感情总会产生，如果长期压抑，感受不到某种情感，但至少能感到活力丧失，这也会是一种负面感受的信号。3检查自己经历的事件，确认问题的诱因和指向的思路说白了，弄明白自己因为什么事情不高兴，搞明白不高兴的理由和逻辑。在我看来，人会因为任何“坏消息”而感到不安、痛苦，“坏消息”即是指：动摇你将要越来越富裕地长久存在在这个世界上的信念的消息。威胁了这种感觉的东西，不管是或事，都会引发你一定的攻击性。只不过人人模式不同，攻击性是指向外还是指向内，需要你自己细细辨别。一般说来，弄明白了自己的思维回路，至少就弄明白了一类人的思维回路。在这个世界上，我们并不那么特别，再独特的人也一定会有数量不少的人和她存在大量共性。这个时候不需要立刻批判或改进自己的思维回路，只需要弄明白和接受即可。下次遇到的时候能更快知道自己为什么难受，而不是仍由无名火产生。4弄明白一类容易让你不开心的事情，归纳总结尽量归纳出一些规律。知道自己容易被什么样的事情刺痛，注意，不管是沮丧低落还是愤怒烦躁归根结底都是一样的：你被这件事打乱了平常心。因此更有必要整理理由和生气的模式。搞明白自己的雷点。找出雷点背后的信念。例如一个从不迟到的人，很有可能会对有人若无其事迟到很多的行为极其生气，不管她表达与否，（可能生闷气，或者自我攻击，或莫名低落，或者在别的事情上迁怒，都和她直白地表达出自己的怒火是一样的）——因为这刺破了她的信条：人不应该迟到，无故迟到应受到惩罚。但只要她遇到没有时间观念的人，而处于社交礼节不能给对方惩罚的时候，巨大的不公和委屈的感觉会袭击她。为了化解这种感情，她要么对外攻击，攻击对方，攻击世风日下，要么就会攻击自己，说服自己不重要，所以自己的感觉也不重要。这样不断找到自己的信条“所有人都应该如何如何”，就会更明了自己的雷区，同时也更明了自己的雷区未必是别人的雷区。5归纳那个你讨厌的人，研究ta惹你生气的点正如上面那个例子，一个人如果频繁惹到你，成为了一个让你极其讨厌的人，那ta多半触犯了你的固有信念。例如对自己要求严格，在文书工作上很少出错的人，会容易讨厌经常写错别字、乱用标点符号的人；被教育要谦卑不可处风头的人，会厌恶喜欢彰显自己、自我推销、自我表扬的人等等等等。一个令你讨厌的人，很有可能拥有和你相反、至少矛盾的人生信念，价值排序，研究ta你可以找到自己的固有信念。而这个事情之所以有价值，就是因为：5.1 你会发现之前你固守的一些规矩其实没必要那么严格地遵守。违背了它就活不下去是你的一种错觉，这种错觉来自于你的童年。你还是可以保持自己的高标准，但不必为有人无视它还获得好好的感到惊奇愤怒。5.2 你会明了自己是如何被激怒的，遇到类似的场景，你会明白怎样避免激怒同类型的人（或按照你的计划，故意激怒ta）。经过了以上五个步骤，恭喜你获得一份对人类共性更深的理解。有了这份洞察力，你就可以更好地理解人性地图，不再像在雷区走夜路，搞不明白状况了。总结1在内心世界纵容自己一切孩子气、不成熟、各种情绪，才能获得第一手观察资料。懂事=压抑=麻木，很容易让你无视自己的痛苦、同时随意冒犯别人。2增大心理空间，在心理空间里包容自己的情绪（但谨慎在现实里行动，因为会产生后果，会有破坏性）3五个步骤更懂人心，核心原则有三条：3.1对自己的负面情绪敏感，不压抑、不扭曲它3.2弄明白自己负面感情的缘由，多半因为它动摇了你的某条信念3.3弄明白这种信念到底是什么。学会举一反三，知道推己及人。要理解别人，先理解自己,2022-11-10 10:17,675,578,39,,,
Ne7ni1SVD,https://weibo.cn/comment/Ne7ni1SVD?uid=5826106525&rl=0#cmtfrm,:我认为大部分人的卡点在于：无法自如地和周围交换信息、资源、能量。说简单点：不敢表达、不敢提需求，不敢示好也不敢拒绝。如果一个人发展得很顺利，做到以上其实是不费功夫和精力的。那么这个人可以不用表现得很“优秀”，就可以自然而然地靠和环境交换，来达到自己的目的。如果（我的观察这个环境里的大部分人）人生早期正常的需求和表达受限，就会变得别扭起来，无法顺利交换到自己需要的东西，给自己达成目标增加难度。⬆️有以上问题的人，可能会去把所有的法宝压在“优秀”上——妄图用“变得优秀”逃避“与人现实地交往，提出要求，接受不确定性”。⬆️人们可能会觉得：我只要够优秀，就不需要任何别的人。但实际上是：我能从别人那里得到的越多，我越优秀。也就是，先能自如交换，然后完成事情自然变得简单。,2023-08-11 20:32,1307,447,26,,,
N8TiC0kUJ,https://weibo.cn/comment/N8TiC0kUJ?uid=5826106525&rl=0#cmtfrm,:人的安全感其实建立在过往的经验里面，做自己，然后发现自己确实被环境接住，这种感觉多了之后就会认为自己很安全。所以你需要去不断在生活里重复体验这种安全。这就涉及到放下多余的戒备，去做你以为会遭遇不幸，实际上被稳稳接住的事情。我建议大家从自己的拖延症开始做起，因为说实话这是最安全的实验项目：你的本能认为拖一拖会让你更安全，认为直面你必须呈现的项目会很危险、会把你整个搞垮，但实际上是相反的。,2023-07-08 11:31,575,306,11,,,
N1MuQ79QK,https://weibo.cn/comment/N1MuQ79QK?uid=5826106525&rl=0#cmtfrm,:本来不想那么暴躁，但看了某个官媒画给独居女性如何保安全的宣传小条图还是气笑了。画成粉红色的小条图就算了，话里话外都是”女人一个人不安全，得伪造一个男人在才安全“的意思。真正好笑。独居如果觉得不安全，就在你家随处多布置点陷阱，或者至少多放点趁手的家伙，刀啊刃啊的，手持式充电电锯我上个号也说过了，这是你的地盘谁进来进犯你就把它大卸八块就好了。,2023-05-22 17:19,2744,272,43,,,
N5wkJ3B7J,https://weibo.cn/comment/N5wkJ3B7J?uid=5826106525&rl=0#cmtfrm,:女人在女人多的地方把一件事做得很好，这件事就会被抹杀重要性，“女人擅长的东西没有什么了不起”女人在男人多的地方把一件事做得很好，就会被说“看来这件事无关性别”；男人在男人多的地方把一件事做得很好，这件事会被高度重视并成为男人优越性的证明；男人在女人多的地方把一件事做得很好，说明“这件事其实很体现男子气概”，“果然还是男人做的这件事比较厉害”,2023-06-16 07:32,2856,209,23,,,
MEvFCod6X,https://weibo.cn/comment/MEvFCod6X?uid=5826106525&rl=0#cmtfrm,:主题：被全世界托住【感想】有时候我会有那种时刻：感觉到就像很多成功的演唱会现场，主演纵身一扑，台下的观众人山人海，就会把你稳稳托住，再热情地随着人浪移动——我感觉我也是，可以尽情地把自己抛出去，但整个世界可以托住我，人们的善意、不知道何处过来的资源、运势、能量，总之总能逢凶化吉，再迷路也能最终找到方向。这种状态不会一直出现，但是我经历过。随着不断地实践，它出现的频率也在上升。这种感觉其实本质上讲，是放弃过度反应，放弃对不会真正威胁到你、伤害到你的东西的过度防御，把多余的力气放到最小。这样并不会让你变得更危险，反而会让你变得更安全。因为你放下了多余的防御，就可以把真正的危险从一切围绕着你的东西里区分开来。只做必要的闪避，不过度反应。你会因为释放了大量紧绷的压力，而感到前所未有的轻松，精力充沛、能量十足。同时因为对整个世界抱有信赖感，也更容易看到帮助自己的力量、看到机会、看到善意。【经验】如何获得这种能力呢，其实打个比方还是用运动来说：善于活动身体的人，不会使用多余的力气。因为善于掌握规律，会借助重力也会用杠杆，因此只巧妙地调动最小的力气。我觉得诀窍在于在自己可以掌控的范围内一点点放掉防御，探索自己的边界。我觉得可以尝试的三个试验方向是：1习惯把体能用得更尽大脑习惯节能，现代都市人身体功能长期废置，越不用身体越废。你的身体越来越僵，虽然用的力气很少，但每天还是活力欠缺。所以有必要在自己还能感到安全的范围内，把体力的余额用得更尽一点点。这样来探索自己真正的体能极限在哪里。因为我发现我的体能存在过度保护的情况，就是自己以为已经累了，已经动不了了，结果发现往前再挤一挤，还能推动一截。我其实一直在等待自己的身体真的承受不住后，来看自己是否已经达到体能上限，打算在感觉到运动量较大、身体疲惫之后，再坚持原计划一段时间，看是否持续虚弱疲惫，就好把训练计划调整回去。但目前看来，大脑的感受保守过度，几乎每隔一段时间加量之后，我都会感觉到自己身体重新适应了新的量，体能变得更好，然后整个人运动能力达到了新高。体能储备上升后，感觉人的安全感、适应力达到了新的水平。2习惯随信念而行动如果你有想法而不去事实，总是处于想法和行动分离的状态，其实是耗能的。这种情况属于认知失调，其实会带来磨损和痛苦。我觉得在我们这里这种强调自谦的大环境里，要凸显自我，按照自己的信念百分百地投入，很多人在默认状态会感到恐惧，或至少是不自在。因为看起来环境总是在惩罚这种人，或者展示一副惩罚“自顾自做自己认为对的事情”的人的样子。但实际上你真的按照自己的信念，勇敢地推动自己往前走之后，也是会给自己带来能量的。因为你不惧争议不在乎别人的眼光在做自己觉得对的事情时，你会轻易赢过大多数人，形成一种趋势。有过这种经历的人会感觉自己打开了新世界的大门。感觉很多人其实是在画地为牢，粉笔画出的界限吓阻很多人，却挡不住站起来了的你，而你在站起来到处活动的同时还发现了很多同类。3习惯在感到不安时绷住我现在发现很多人的问题在于过度反应。很多时候，环境只是展示出事情有可能往不利方向发展的趋势，离它真正伤害到我们还有很远很远。但草木皆兵、风声鹤唳则可能给我们造成四面楚歌的状态，让人杯弓蛇影，长期处于一种惊恐消耗的状态。这还是在其次，更糟糕的事情是，你因为过度恐惧做出不当反应，露出破绽，给自己造成损失。保持心态稳定，该干嘛就干嘛，不做多余的事情。这恰恰是我们最需要的，也是理论上最能保证我们安全的方式。习惯在感到危险时先不着急防御，多观察如果后果承担得住，就不妨多等等，即便有人要害你，也可以多观察对手如何伤害到你，在该出手的时候再出手，不要过早开始行动。这样操作久了之后，大部分时间里你担心的事情都很难伤害到你。对世界的安全感和信赖感上升，对真正的危险反应反而会变得更灵敏和准确。总结：1有时候我会有那种被全世界托住的感受，感到自己是绝对安全的，不管往哪里跳，都会有一种无形之网把我托住，疑无路的时候总会出现柳暗花明又一村。2这种状态需要慢慢调试，总的说来如果能更准确地掌握威胁的实际情况，做到不花多余的力气，只做必要的警戒，就更容易感受到这一点3可以尝试的三个方向，耗尽体能、随信念而动、在不安时绷住，核心都是：3.1在自己认知的安全范围内往外逐步地推动；3.2在自己能承担的风险范围内放弃防御3.3积极推进向往探索的体验这些都需要花费时间精力耐心而缓慢地尝试，一次一小步持续推动，最终能达成相当明显的效果。说白了就是艺高人胆大，磨练自己的行动力和出事能力是上策，但磨练的结果是人会自然而然获得安心感。,2023-05-01 11:27,318,201,10,,,
N8zSHe2xs,https://weibo.cn/comment/N8zSHe2xs?uid=5826106525&rl=0#cmtfrm,微观环境变好了，比大环境变化对本人的主观体验影响更大。所以比起忧心天下，不如在保持自己价值观的基础上尽量改善自己的处境，让自己过得更快意人生就够了。和你价值观一样的人们如果都独善其身，过上了好日子，那么你们的共同价值观就会发扬光大、改变整个世界的构成。事情就是这样的简单。  ,2023-07-06 10:05,349,196,7,,,
