wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
NkLgf3w46,https://weibo.cn/comment/NkLgf3w46?uid=5898082523&rl=0#cmtfrm,应试教育是这样一种东西：你需要依靠它在中国的考试体制中脱颖而出、从而获得学术事业的最初位置。同时，你要花一生时间去摆脱它，摆脱那种极其功利和死板的思维习惯，以确保可以将学术事业推到最高高度。  ,2023-09-24 13:06,5756,858,17,,,
MzXLw1ULt,https://weibo.cn/comment/MzXLw1ULt?uid=5898082523&rl=0#cmtfrm,:我特别厌恶那种傲慢。那种不读书不看报不学习，靠着从社交媒体上吃到的庞大垃圾，就觉得自己有足够能力评价一切事物——的那种傲慢。特别讨厌那种觉得自己已经足够成熟，在与人交往时毫无谦逊之意，面对更高的智识领域时靠着嬉笑怒骂来遮掩尴尬，对自己的不努力不勤奋不迭代毫无自责意识——的那种傲慢。一个人应该随时准备好自己已有的体系被打散，而不是抓着一切能抓住的浮木来证明自己是对的。,2023-04-01 13:47,1863,849,14,,,
N0CdQp26p,https://weibo.cn/comment/N0CdQp26p?uid=5898082523&rl=0#cmtfrm,:晚上和一个女性朋友连线，我们都谈到一个现象：目前，文艺作品中明显自私利己和女本位思维的女性角色被认为“是编剧对女性的尊重”，而有着大情怀大悲悯和人类责任意识的女性角色反而被污名化，被认为“是编剧对女性的戕害”。这的确是个很有意思的现象。朋友是从事社工工作的，她对“巨婴人格”的观察比我敏锐：“那些叫得最欢的恰恰是不承担责任的人。他们要的是不担当的自由。”,2023-05-15 01:20,315,170,9,,,
N0ds5og17,https://weibo.cn/comment/N0ds5og17?uid=5898082523&rl=0#cmtfrm,:“一个人文学者，特别是文化研究者，做学术研究的目的，从根本上说首先是解答自己生活中遭遇到的重大、尖锐问题（特别是与创伤性经验相关的问题），或者说以学术方式对自己的生存境遇做出回应。这样，文化研究是他生命书写的一种方式。这是第一位的。当然，由于人都生活在特定的社会、时代，这种生存境遇总是不同程度地反映了同代人的共同生存境遇，因此，对自己生存境遇的回应不同程度地都具有公共意义。一个做文化研究的人，如果不是从切己经验出发提出和思考问题，就容易陷入五花八门的理论海洋中从而迷失方向，以别人的判断代替自己的判断，把别人的病当成自己的病，把别人的药方当作自己的药方。至于那些追逐时尚，把学术时尚误解为公共关怀，唯世界学术市场行情马首是瞻者，就更是等而下之的了。”,2023-05-12 10:16,136,126,5,,,
Nucd8npIi,https://weibo.cn/comment/Nucd8npIi?uid=5898082523&rl=0#cmtfrm,:今天下午读《资治通鉴》，恍然大悟，李克给魏文侯提供选人的五大原则，分别是： 居视其所亲，富视其所与，达视其所举，穷视其所不为，贫视其所不取。 白话文即：“判断一个人的品行，平时看他所接近的，富贵时看他所交往的，声名显赫时看他所推荐的，身陷穷困时看他所不做的，贫贱时看他所不取的。凭借这五条，就足以判断一个人的品行如何了。”,2023-11-25 14:16,95,76,0,,,
N9dwF5wJE,https://weibo.cn/comment/N9dwF5wJE?uid=5898082523&rl=0#cmtfrm,:三岛写得很透彻。而且就连我这样的人，身上都有女性的本质特点。无论我后天读多少书，经历怎样的训练，在两性最亲密的时刻，我都会本能地对男性展开性吸引，哪怕是扮演人类幼崽的形态、女少年的形象得到男性深沉的保护与爱，去“织住”对方。以前有人评价我“一点不浪费女性的才能”，我很愤怒，可如今诚恳地扪心自问，那难道不是真的吗？一清醒我就是男人，不清醒的我，也的确是个“女人”罢了。我一直都很明确地说完全不认同上野千鹤子，作为女性主义者，她的政治策略大过了她追求真理的初心——她从不直击女性自身存在的巨大问题。她甚至努力地用受害者姿态、并鼓励女性认领受害者姿态，去掩盖问题本身。她要的或许真的是为“阴性”正名。但，不挖地三尺、自剖心肝、诚实面对，又如何正名？！她说男性厌女是“恐弱”。完全没有说清楚。男性厌女，跟弱没有关系。而是恐惧并且厌恶那个不自觉进入攻受模式的、对女性展开围猎之势的自己。恐惧并厌恶那个张开大腿、随时准备用三招两式吞并自己的雌性怪物。他恨他自己的不自由。恨他的欲望逼他进入这样的模式，他的欲望逼他几乎没有第二条道路可供选择。他被迫着进入这个屠宰场，看似在追逐，其实早已被雌性的圈套禁锢。他心里明白，这一次，又要输了。因此禁欲是一种对“被愚蠢的雌性不可自拔地吸引后”的一种惩罚。为了逃避阳具给自己带来的一次次愚蠢的打猎行动，男人永远要出逃，从一个女人这里逃到另一个女人这里，以免被一个女性啃啮至死。倘若非要说男性厌女是恐弱，也无非是他知道他一旦疼惜这种“弱”，就是上了个大当。他会被这看似的弱者纠缠到死，扒掉所以可以被占有被侵蚀被寄生的有利之物，再被狠狠抛弃。他厌恶的是“以爱为诱饵”。所以问题的根源在哪里？在于异性恋的“追逃”模式中，在这种无穷无尽的上位/下位、狩猎者\被狩猎者叙事中，没有真正的“爱”。男人和女人都遵循了自身的动物性，而非神性。这种异性恋榫卯式攻受结构，也恰恰是我们的文明社会的基本结构。可是，动物拼命奔向神，追求神性，才能成为人啊！,2023-07-10 15:00,109,65,9,,,
MEqAP60Pw,https://weibo.cn/comment/MEqAP60Pw?uid=5898082523&rl=0#cmtfrm,我最喜欢窦唯这张照片。  原图 ,2023-04-30 22:31,631,60,3,,,
NloZ2eQW9,https://weibo.cn/comment/NloZ2eQW9?uid=5898082523&rl=0#cmtfrm,:我经常听到一些学生说：“我有学术天赋，我有求知精神。我爱读书，我爱做田野，但是只要一到写论文阶段，我就受不了了。我思维是跳跃的。”他们对自己了解得不透彻。“一到写论文就受不了”，这就是没有学术天赋的表现，因为“学术写作”才是知识生产的开始。对真正有学术天赋的人来说，读书就是为了写作，田野也是为了写作。而不是体验本身！他们会跃跃欲试地奔向写作环节。哪怕写作训练令其万分痛苦，但他们依然极其亢奋，并矢志不渝地跨过学术训练的“临界点”，走到奔腾流淌的自由写作。大部分人根本不具备这种天赋，全部倒在了“只看不写”阶段。,2023-09-28 18:14,148,54,2,,,
MtPuvoXto,https://weibo.cn/comment/MtPuvoXto?uid=5898082523&rl=0#cmtfrm,:经常听听另一方的言论，对自己的思维开拓是有好处的。这一期播客虽然令我有诸多不适，但是贵在真诚。主播谈到自己的成长全因为接触了女权主义理论，这一点令我感觉到诧异。我再一次认识到个人经验的独特性。我从来没有因为阅读女权主义理论（我只叫它女性主义）而感觉到内心有什么万丈高楼起，许多道理在我看来都是作为人的最基本理念。主体性是人之根本，不追求任何形式的任何认同，创造个人价值也是我接受的最基本教育。但到了主播这里，全成了她一切的武器和武器的一切。在我看来，女性主义就是多了一个性别视角而已。但性别视角永远只是其中一个视角。甚至，性别视角只是思维的一种手段，一个人应该训练自己多角度多立场多维度多层级地看待问题，最终锤炼自己“去视角”地看待问题。甚至，“女性”只是一个空间问题。而人可以调整任何空间位置以适应环境或使环境适应，并可以扮演任何角色——只要你主体性足够坚韧并且持续生长。不过，当我听到主播评判说：“她们那样是不对的”“她们算什么女性主义者”时——她在评价和上野千鹤子对话的三位女性——我感受到扑面而来的胁迫感，我忽然意识到自己在强硬的时候也常常会显示出这个倾向。任何主义一但投入使用一定会形成压迫效应。要小心。这也是历史之教训。布尔什维克足以让一个追求主体性的人彻彻底底丧失主体性，成为卑贱的奴仆。虽然我爱它。向内求。一切外求理论、信仰和群体支撑的行为都是在把自己的内在掏空、腾出地方装载他者之马达。这是慕强。你既然因内在空虚而慕他人之强，那一定会被这种强彻底吞噬。追求主体性，却失掉主体性——知识的大荒谬，人生的大荒诞。我想这也是家人、朋友和爱人经常提醒我的一点：重要的你身边的人和你脚下的土地。《被迫恋爱咨询的上野千鹤子与冠夫姓的女性主义者》 网页链接（via @小宇宙播客App）,2023-02-20 05:41,85,53,2,,,
MCLvo3ueJ,https://weibo.cn/comment/MCLvo3ueJ?uid=5898082523&rl=0#cmtfrm,:一位走过世界很多地方的台湾朋友便曾感慨道：他没有见过世界上有任何一个地方像中国大陆这样，无论在日常语言表现还是日常生活氛围上，如此以钱为中心。他这个观察对我触动很大。首先，他的观察让我更加意识到此问题的特别性。先前我注意到这一问题，主要是通过中国历史先后的比较，而现在他拉出此一问题则基于更大的空间视野。其次，他的观察实际触及了一个非常重要的问题，就是我们通常认为，一个社会如果有很长时间的富含伦理关怀的社会日常生活积累，那么这个社会应该不容易被商业逻辑和消费主义所穿透。而从这个角度来看，上世纪90年代以后中国大陆社会的表现恰恰是一个反例，因为中国大陆不仅有几千年日常生活的积累，而且社会和文化又被认为特别强调伦理，那为什么这样一个社会就其表现言，反如此容易被市场商业逻辑穿透、被消费主义氛围所深切笼罩呢？,2023-04-20 00:05,265,47,31,,,
