wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
Kt5KGySkF,https://weibo.cn/comment/Kt5KGySkF?uid=6447169762&rl=0#cmtfrm,:我渴望有人暴烈地爱我至死不渝，明白爱和死一样强大，并永远站在我这边。我渴望有人毁灭我并被我毁灭。世间的情爱何其多，有人可以共度一生却不知道彼此的姓名。命名是艰难而耗时的大事；它涉及本质，也意味着权力。否则，在狂野的夜晚，谁能把你唤回家？只有知道你名字的人才能。浪漫爱情已被稀释成平装本煽情小说，卖出了成千上万册。但在某个地方它依然保留着最初的形式，刻画于石板上。我可以漂洋过海，任由暑气逼人，我可以放弃我所拥有的一切，但绝不会为了一个男人，因为他们只想当毁灭者，却从不愿被毁灭。这就是为什么他们与浪漫的爱情格格不入。当然也有例外，我祝他们幸福。珍妮特·温特森(Jeanette Winterson)《橘子不是唯一的水果》(Oranges Are Not the Only Fruit)译者：于是｜北京联合出版有限公司投稿：@·橘野·  ,2021-08-12 11:46,5232,2283,135,,,
L2len2bXF,https://weibo.cn/comment/L2len2bXF?uid=6447169762&rl=0#cmtfrm,:#转发赠书# 重磅又来啦！！[开学季]#企鹅布纹经典# · 奥斯丁作品▪ 醉心拥有经典之美 ▪ 《理智与情感》《傲慢与偏见》《曼斯菲尔德庄园》《爱玛》《劝导》《诺桑觉寺》 企鹅兰登 独家授权首席设计师𝘊𝘰𝘳𝘢𝘭𝘪𝘦 𝘉𝘪𝘤𝘬𝘧𝘰𝘳𝘥-𝘚𝘮𝘪𝘵𝘩 的原版装帧手作感设计理念 赋予名著新鲜活力 卓越译本 × 名家导读，再现奥斯丁神韵谐趣200 余幅休·汤姆森经典插画，开启视觉盛宴 转发+关注，11月27日抽1位幸运读者获得全套6本《企鹅布纹经典》+企鹅兰登限量周边帆布袋一个,2021-11-20 12:16,629,1562,526,,,
L5nj0DmHX,https://weibo.cn/comment/L5nj0DmHX?uid=6447169762&rl=0#cmtfrm,":永别了，爱情，还有你的儿女情长，你挂满诱饵的钩钓不到我；塞涅卡和柏拉图怕我跑不脱，敦促我专心搞钱富甲一方。Farewell, Love, and all thy laws forever, Thy baited hooks shall tangle me no more; Senec and Plato call me from thy lore,To perfect wealth my wit for to endeavor.托马斯·怀亚特（Thomas Wyatt The Elder）《永别了，爱情》（Farewell, Love）投稿人@猫猫需要彩虹  自译",2021-12-10 11:04,2370,1509,121,,,
KptmWyUoz,https://weibo.cn/comment/KptmWyUoz?uid=6447169762&rl=0#cmtfrm,“强奸就是强奸。它可以是眼睛周围的瘀青。是抵住胸口的枪。是男性有意地或故意不小心地朝着女性使出的手、拳头、武器和脚。”安娜·伯恩斯（Anna Burns）《送奶工》（Milkman）译者：吴洁静投稿：@吃土豆从来不削土豆皮   ,2021-07-19 16:32,6715,1486,71,,,
L0YABDWxz,https://weibo.cn/comment/L0YABDWxz?uid=6447169762&rl=0#cmtfrm,:#转发赠书# 重磅来啦！英国作家乔治·奥威尔因为他的两部传世名作而为世人所铭记。透过这两部作品的深邃棱镜，我们所看到的是一个穿透一切人性迷雾的末日预言家。但那并非以血肉之躯在这个世界上行走过的奥威尔。终其一生，他也曾是一个热忱的信徒，一个勇敢的战士，一个受伤、恐惧、落魄的普通人。通过我们今天的开箱视频，你会了解到，这个曾经的伊顿公学毕业生、大英帝国驻缅甸皇家警察，如何背弃了那个不公不义的体制，经历了人生与思想的重重蜕变，才最终站上了他如今在文学史上的地位。👇感谢@上海译文 @上海译文文学室 为大家带来奥威尔全集一套！转发➕关注，11月18日抽1位朋友狠狠享受奥威尔老师的全套著作！顺便悄悄告诉大家，现在奥威尔全集都非！常！划！算！～ 英国文学bot的微博视频 抽奖详情,2021-11-11 12:48,416,1281,402,,,
LpTFHl8A0,https://weibo.cn/comment/LpTFHl8A0?uid=6447169762&rl=0#cmtfrm,:#转发赠书#  “王尔德精选集”，收录王尔德三部具有代表性的心血之作：1.《自深深处》，被王尔德视为“生命中最重要的一封信”，“自深深处”译名创造者朱纯深教授口碑译本，特别收录王尔德与波西在牛津大学的合影等珍贵资料。2. 《道连·格雷的画像》，王尔德被判入狱的“罪证”之一，了解王尔德生平的一面镜子，译文由翻译家黄源深先生精心打磨。3. 《夜莺与玫瑰：王尔德童话全集》，完整收录王尔德久负盛名的九篇童话作品，翻译家、学者王林动人译本，扣人心弦。 他留下的一行行文字至今深深地吸引着我们。他的作品仍然年轻，就像写于今天上午。——博尔赫斯 就是现在，转发＋关注，5月1日抽1位幸运读者，赠送精选集，共享这份艺术典藏之作~ 抽奖详情,2022-04-24 10:14,521,1279,337,,,
L1jhZbMiF,https://weibo.cn/comment/L1jhZbMiF?uid=6447169762&rl=0#cmtfrm,#转发赠书# 11月20日抽一位宝送近期曝光度极高的王尔德《自深深处》一本！祝宝们天天开心[开学季]  抽奖详情  [组图共2张] 原图 ,2021-11-13 17:29,639,1152,262,,,
KzDudriFx,https://weibo.cn/comment/KzDudriFx?uid=6447169762&rl=0#cmtfrm,:“我倘能找到你，我会爱你的。可是你在哪里呢？要是剥夺了你的表现癖，拿走了你的表演技巧，把你的装腔作势、虚情假意和演过的一个个角色的片断台词和他们的褪了色的感情的残余都像剥洋葱那样一层层地剥光，最后我们能找到一个灵魂吗？”威廉·萨默塞特·毛姆（William Somerset Maugham）《剧院风情》（Theatre）译者：俞亢咏｜上海译文出版社投稿：@非食用物质 ,2021-09-24 12:40,2258,1151,19,,,
JBcp22nq7,https://weibo.cn/comment/JBcp22nq7?uid=6447169762&rl=0#cmtfrm,:✨新年赠书第一弹转发＋关注  1月8日抽3位粉丝送《现代英国的形成》图书一本。 #英国脱欧#《BBC现代英国史系列》为同名BBC历史纪录片的原著。分为《现代英国史》和《现代英国的形成》，两本书合在一起完整刻画了20世纪的英国史。《现代英国的形成》从1901年维多利亚女王去世一直讲到1945年二战胜利。《现代英国史》从1945年二战胜利一直讲到2016年脱欧公投。安德鲁·玛尔以记者独有的敏锐和英式幽默，描绘了一个真实而生动的全景英国，把历史变得如同小说般刺激又有趣。赠品由@司母戊工作室 提供 抽奖详情,2021-01-01 20:40,391,1072,294,,,
L4VhooH4R,https://weibo.cn/comment/L4VhooH4R?uid=6447169762&rl=0#cmtfrm,:我并不认同“任何杀不死你的，都会使你更强大”这句话。事实上根本不是这样，那些“杀不死你的”通常会使你更弱小，让你在余生里四肢无力，不敢走出家门，甚至是卧室。它们让你颤抖，语无伦次，头倚着窗，祈求回到它们出现之前的日子。马特·海格（Matt Haig）《活下去的理由》（Reasons to Stay Alive）译者：赵燕飞｜江西人民出版社投稿：@小玫瑰梁悦 ,2021-12-07 11:43,3575,1048,89,,,
