content,publish_time,like_num,forward_num,comment_num
:拿这个给老公看，问他有什么问题。他说，这就是明显的没有职业道德伦理了。我说，为啥？他说，能说出这句话，无论是老婆让说的还是自恋的一种表达方式，都代表他默认了一个前提。我，啥前提？他说，认为教授和学生是可以发生关系，是可以有故事的，是可以忽略教授可以决定学生的成绩和绩点的权力差距的。只有基于这个前提，后面的话才可以说出口。我说，那你们教授没有公开过婚恋状态吗？他说，有啊，会说今天是和妻子的结婚纪念日等等。我，那不同点在哪里？他说，一个是分享生活，一个是引发家庭与外界的矛盾，好像学生和老婆是竞争关系。我内心：我的采访结束，又有素材发微博了,2023-03-13 14:35,54493,4597,176
我生活里很少接触华人，每一次接触就是这样  原图 ,2023-02-20 11:48,22923,3149,124
我最害怕碰到这样的男人，你喜欢吃草莓，他送你一车苹果。说苹果是水果之王，对你身体比较好，我必须重视你的健康。你要是敢拒绝，他绝对发疯。你要是不拒绝，你自己就会首先疯掉。陷入这样偏执的关系，真的崩溃  ,2023-02-24 20:00,4960,171,23
:每当有人抑郁症自杀，无论是普通人还是明星，我都会避开这个新闻或者避开首页的万转。因为我很怕自己陷进去。因为无论大家怎么说，我完全可以理解她们的绝望，理解她们的选择，我甚至觉得这是一种对的事情。因为做人就是长久的痛苦，不想痛了，不想受屈辱了，挺好的。虽然我相信未来会越来越好，比如在我身上，我也觉得我的未来会很好，很舒适。但是这种好真的足以让人忍受过去的屈辱人生嘛？我的答案是否定的，我之前就是发过一条微博，尽管现在生活得很好，你如果问我还想不想重来，我仍然会选择一开始就不存在。而且当我说屈辱人生的时候，这种屈辱并不是非要有个实体的人，比如父母、班主任、上司等等。而且这种社会氛围，无法让人站着，无法让人说真话，无法让人自由选择，你永远要屈服在强大的politics 下，这就叫做屈辱。,2023-07-08 06:03,360,136,6
:今天我必须为我们“恨人”正名。我们痛苦是因为我们渴望更好的社会，渴望更正确的对待，渴望更多的自由和更少的伤害。我们拥有这种渴望是一种强大的力量，会让我们指出现有环境的问题，也会让我们主动切断和有毒文化的连接，减少更多的伤害，不再代际传递这些糟糕的东西。我们渴望美好的一切，憧憬每个东亚女性不再被传统文化伤害和压迫的未来，没有一点点错。讲出我们的痛苦，可以让更多的人意识到这里的环境出现了问题，也让更多的女性知道自己并不孤单，并不是自己是个白眼狼，是个糟糕的女儿，知道这一切伤害不是自己的错。我们共享类似的命运，这种痛苦连接了我们，也构建了我们的sisterhood 。恨是因为不接受这样的对待，痛苦是被错误对待后的诚实心理感受。如此坦诚地面对这些压迫和不公，明明是更勇敢的事情，却总是被污名化。如果认为一切的对待是理所当然的，自然不会有恨也不会觉得痛苦，可是我们无法对自己说谎，告诉自己别人过得更差。We want more，这就是我们的差距，你知足，但是不知足才是社会进步的前提。#不接受对痛苦的污名化#,2023-04-20 16:56,327,117,7
这个时候怎么不说一个巴掌拍不响，苍蝇不叮无缝的蛋，你要是为人正派，在地铁上不从这个角度拿出手机，会有人误会你吗？  ,2023-06-12 12:28,511,114,6
我从小到大觉得地球不行的原因是，各个国家的那个谁年纪都很大啊，作为一个儿童，敏锐地感知到这是老年人的社会，他们落后却拥有制定所有年轻人生活的社会生态的权力。一想到新生的力量被压抑，我就觉得活着没啥意思……  ,2023-01-27 17:58,1699,82,8
:我记得很震撼的一次爬梯就是很多女生穿个露脐吊带，也没有贴乳贴，奶也不小，感觉c吧，中间我们一起跳舞的时候，她的奶就从衣服里掉出来，她也挺无所谓的，就很正常放回去，大家都没有任何反应，而我已经内心地震，天啊，要是我，已经尴尬死了，后面她们还蹦了1个多小时，奶经常出来，又被收回去。在场也有很多男生的。真的每个人都超级chill，仿佛这是世界上最不起眼的小事了。,2023-07-23 11:31,1025,71,14
:从认识的第一天到现在，他每天都会夸赞我无数句，他擅长表达爱，表达赞美，不觉得难为情。而我非常难为情，因为我从小到大没有经历过这种情感上的爱抚。我记得有句话是这么说的，一个从小挨打的人，你再打她，她已经不会哭了，只会变得冷漠，而你轻轻地爱抚她，她会流泪满面。这就是我，数不清被我爸爸打了多少次，扇了多少次。我很陌生别人对我的赞美，因为在我的自我定位里，我就是个废物，就是个垃圾，是个有点小聪明的背时鬼。刚认识的时候，他每次夸我的时候，我都会眼神躲闪，岔开话题，打个哈哈就过去了，从不正面回应。说的人没觉得不好意思，可听的人已经不好意思很久了。和他同居3个月的有一天深夜，我突然非常抑郁，想死，那种自我毁灭的欲望重新占满了我，支配了我。我趁他睡着，一个人去楼下点了根烟，坐在门禁的台阶那悄无声息地掉眼泪。不是他对我不好才哭，而是对我太好了。好到让人无法再自我欺骗，终于认清，我过去的生活就是一坨屎，就是比黑暗更黑暗的东西，终于认清，我的爸妈真的不爱我，这个认识了三个月的男人都能给我的安全感和温暖，生我养我的人连一点点的给不了，还要一直和我说，父母很爱你，只是可能方式不是你喜欢的，不被你接受，除了家里人谁又会真的关心你。这种爱的纯度让你立马就能分清那些劣质的“爱”，那些因为“爱”而错误的“方式”。你会发现你活在一个谎言之中，他们压根就不爱你，爱不会有错误的表达方式，但畸形的占有欲，控制欲，寄生欲有。突然没法再用爸妈是我爱我的，可能只是不会表达，可能不是按照我喜欢的方式，除了家里人谁会真的关心我，我就是一坨臭狗屎，死在大街上也没人关心这套话术欺骗自己是被爱的。直视了这一切，让我痛不欲生，太残忍了，活不下去，承认自己这些年没被爱过，实在太过于残忍，承认自己这些年不被出生的源头爱抚过，实在太过于残忍。我无法承受，我只想从这个世界消失。好想死啊，好想死啊，好想死啊。一刻都活不下去了。我甚至开始怨恨他，让我无法再自我欺骗，我怨恨他照出了别人的劣质，我怨恨他让我看到不想看的真相。我不知道如何处理这么汹涌的情绪。我顾不上任何人，只想消亡。那天晚上不知道具体怎么结束的，我的保护机制让我写不出我怎么处理。我只知道抽完那盒烟，上去把他喊醒，说了句，戒烟了，确实对身体不好。他睡得迷迷糊糊说了句，你真棒啊！我没有接话，脱了衣服掀开被子，躺了下去。这一躺到现在，我都再也没想过自毁，它曾经像我的影子，和我永不分离，可是那一晚它剧烈汹涌以后，仿佛因为达到沸点，直接蒸发了。没有人包括老公，知道那天晚上发生了什么。我自己也是3年后才能写下那天的感受。但我的下半生确实是从那个晚上开始的。,2023-02-26 18:15,627,69,51
浅显的五年工作经验让我明白，上班的每一秒我都是不开心的，都会让我怀疑人生的意义和自己的价值，我觉得自己是块菜市场肉铺砧板上的边角肉料，任人挑拣和割除。我从这段经历唯一学会的就是这辈子没法通过工作让自己心安，我只会更加迷茫自己的人生走向何处，因为在我能看到的未来都充满了无尽的绝望。  ,2022-12-23 18:58,555,68,11
