wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
G3hw5b09f,https://weibo.cn/comment/G3hw5b09f?uid=1837896330&rl=0#cmtfrm,"现在有了新年愿望：希望身边的人们和世界接轨，摆脱愚昧与无知，不再沉浸在自己的意淫中。翻译成英文：Stop being racist and sexist, you chauvinist pigs.  ",2018-02-15 22:58,194,281,7,,,
L4thJ1sWG,https://weibo.cn/comment/L4thJ1sWG?uid=1837896330&rl=0#cmtfrm,":前阵子和PhD在读的朋友打了很久的电话，她说感到沮丧，因为花了大量精力写出来的文章，最后看的人寥寥无几。想到当初我硕士毕业后转行，是因为觉得艺术圈太小(and privileged), 想去看看外面的“真实”世界。但绕了一圈，现在想回到自己的小世界。就像Diane在The Good Fight说的一句话，大意是I can only stay sane in my little corner of the world. 也不知道以后会不会变。可能关于人生只有一种真理，就是它的围城本质。",2021-12-04 12:27,151,42,8,,,
Kltnq6JLB,https://weibo.cn/comment/Kltnq6JLB?uid=1837896330&rl=0#cmtfrm,The Journal最近有期节目探讨为什么过去一年美国人辞职率达到新高，有一句话很触动我，大意是当远程工作的时候，没有职场，没有同事，只剩下工作本身。没有了光鲜亮丽的写字楼，没有了觥筹交错的社交场合，没有了奢华假期，你还会觉得现在做的工作有意义吗？  ,2021-06-23 09:12,28,20,0,,,
GDVHzEguB,https://weibo.cn/comment/GDVHzEguB?uid=1837896330&rl=0#cmtfrm,有没有人告诉我，getting a PhD in Italian Studies是不是快乐一辈子的方法。听到意大利语就快乐。看到那么多裸体雕塑就快乐。想到在露天的花园酒足饭饱直到夜深就快乐。  ,2018-10-14 23:27,28,17,15,,,
K0kZccorU,https://weibo.cn/comment/K0kZccorU?uid=1837896330&rl=0#cmtfrm,:大学时读到一篇文章（好像是启蒙运动时期的某个哲学家？忘了），说艺术更盛行于希腊、意大利等气候宜人的欧洲南部地区，因为人们不会包裹得严严实实，激起用艺术来探索和展现人体之美的欲望，而且天气好人心情就好，懂得享乐。而在德国或以北的欧洲苦寒之地，就没有什么艺术的踪迹。直到今天，北部地区也没什么艺术的痕迹，与美学相关的反而是以设计闻名全球，非常地实用。当然原因有种种，宗教的区别可能占比更大。不过也是一种简单粗暴却不是毫无道理的解读方式。,2021-02-04 09:14,37,16,4,,,
IjJ0BntQR,https://weibo.cn/comment/IjJ0BntQR?uid=1837896330&rl=0#cmtfrm,":跟朋友讨论open relationship, 他说他对于感情有各种各样的期望，通过open relationship就不用强求一个人满足所有，而是可以分散开来（这岂不是投资策略101，不要把鸡蛋放在一个篮子里）。我理解，但一直觉得这个词problematic, 因为relationship总暗示一种双边关系，open就与此矛盾。不如用network替代，就像从现代主义的双边关系过渡到后现代主义的多边关系。每个人都经济独立的前提下，这可能是更适合当代人的情感关系。",2019-12-07 23:51,59,14,2,,,
GfKuLyJTe,https://weibo.cn/comment/GfKuLyJTe?uid=1837896330&rl=0#cmtfrm,:在Tom Ford柜台看香水，导购跟我说，”Some people say it smells like baby powder.” 一脸真诚，好像这是一个卖点，但我立刻失去了购买的欲望—Why would I spend like $200 on baby powder? 想起美国同事问我，为什么我们公司的中国女生们如此”innocent”? 我翻了个白眼，”Of course here they don’t want girls to grow up.”,2018-05-08 22:48,31,11,4,,,
Fau949Y68,https://weibo.cn/comment/Fau949Y68?uid=1837896330&rl=0#cmtfrm,同性恋有什么色情的，滥用权力才是最色情。  ,2017-07-02 09:15,33,10,1,,,
F0UpiqvHf,https://weibo.cn/comment/F0UpiqvHf?uid=1837896330&rl=0#cmtfrm,":昨天的论文展示能看出每个人的性格：家里非常富有的英国女生，除了玩人生不用考虑其他，所以写Sophie Calle; 对异国充满想象但意识不到自己居高临下态度的美国白人女生，写西方当代艺术对难民危机的探讨；来自拉斯维加斯现居东村以一种""fuck you"" attitude生活的女生写Jack Smith；一个看上去就非常sassy像奢侈品导购的男生写了维多利亚时期的珠宝；还有我，来自中国只看向未来的millennial, 写互联网。非常有趣。",2017-04-30 09:43,22,10,6,,,
LxhlF6jpe,https://weibo.cn/comment/LxhlF6jpe?uid=1837896330&rl=0#cmtfrm,我问@黄溜溜SYH 为什么唐山的事艺人纷纷发声，徐州却没有人敢？答：因为性质不一样，这波是扫黑，是“完美犯罪者”。太讽刺了，在这里不仅需要完美受害者，连犯罪者也要是“完美”的，大家才被允许愤怒。  ,2022-06-11 23:23,22,9,2,,,
H8G41tgUu,https://weibo.cn/comment/H8G41tgUu?uid=1837896330&rl=0#cmtfrm,:学经济的朋友们总是半开玩笑半认真地说“资本主义万岁”。我明白，但自己成为资本主义效率机器的一个零件的时候真的很难快乐。以前学习现当代艺术时总是质问有什么意义，不过是时间和金钱的浪费，但正是因为脱离了效率逻辑，某些作品才有了意义——是日常生活中的诗意反抗，是暂时的逃离，就像二十世纪初avant-garde所强调的”jouer” (“play”)。看这季奇葩说就感觉到两个思想体系的碰撞：经济学家说的东西都很有道理，会使利益最大化，但幸好还有感性的作家在提醒，并不只有这么一种选择，微小的感受也值得关注。,2018-12-24 09:23,26,8,1,,,
