wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
NedNanhP6,https://weibo.cn/comment/NedNanhP6?uid=5115269913&rl=0#cmtfrm,:“江浙沪独生女”和“全职女儿” 这两个词汇出现在一种什么样的大环境下？大学毕业生失业率近20%，生育率每年持续下降。在二战期间，劳动力大量的缺失让女性能够从家庭中走出来，获得以前牢牢被男性占据的工作机会，得以经济独立，争取到以前没有的话语权，为平权奋斗。但是现在用“全职女儿”和”江浙沪独生女”这样带着小资产阶级色彩的词汇，就能让女生欢欣鼓舞地吃下包装成糖果样子的毒药，让出工作岗位，回归家庭，用父母老公的钱消费，生孩子增加生育率。为什么要拒绝“全职女儿”这个说法。经济不好大学生研究生毕业找不到工作，换个好听的名号鼓励大家啃老。但是为什么不鼓励“全职儿子”？当然了很多儿子每天躺在家啥也不干，父母也愿意衣食住行伺候好，还送上全部家当，但是他们不会得意洋洋地说自己是“全职儿子”，还是会打肿脸充胖子说“自己在家族企业工作”。这还是潜意识里面附和了传统父权的价值观。比如女生在外面也赚不了几个钱，女孩子家家那么累干什么，女生更擅长于照顾人，那么长辈的赡养义务不如让女生承担。女生不要出来抢工作机会了，就应该按照刻板印象做乖乖女，孝顺父母长辈丈夫，你不需要经济独立，你只需要相夫教子。把婚姻结构里面的做家庭主妇提前到了先从做全职女儿做起。大部分父母确实比丈夫可靠，但是东亚亲子关系中的掌控欲大家也有目共睹，不过是另一种亲情包裹的父权制度罢了。“江浙沪独女“也很好地掩盖了看似主动实际上是被迫的十几年的男女平等。有多少在炫耀的女生可以说出，如果家里有个弟弟，自己还是能获得这么多的资源和关注呢？又有多少女生可以自信地说父母送自己学习不是为了“以后更好嫁人”呢？甚至有人说，自己虽然是独生女但是从小到大都生活在“隐形的弟弟”环境下，父母亲戚朋友无时无刻不在说，“哎呀，要是你有个弟弟，你就享受不到这些啦……”大部分网络上的“炫耀”都是出自20出头的小女孩，她们还没有直面生活和社会的压力，比如有人就一针见血地指出，“能够掏百万送我出国的父母因为我不愿意去相亲要逼死我”。当然我相信存在有父母全身心的爱，但是大部分出来炫耀的女生的“爱”都是建立在听话乖巧的基础上，把父母的掌控当作是“爱”的体现，比如天黑前要回家，比如“大城市打拼太辛苦了还是回家乡爸妈养你”，再比如“找个当地人结婚”。看到公众号写：“父母给她安排了好一种避开所有劳累与凶险的生活，让她从光腿穿巴宝莉衬衫的快乐留学生，最终稳妥地进阶为穿新中式戴翡翠的江南贵妇。”这跟我家的猫有什么区别，就是宠物在父权结构下的所有权交接，从父母手上转交到了丈夫手上，别说什么父母给彩礼的，我领养猫的时候也送了猫砂盆和猫粮。最后想声明一点，我在这里批评的是这些词汇和现象，而非发言的女生本身。社会结构性压迫的一部分就是把不合理现象合理化，让身处于其中的女生意识不到这不正常，甚至觉得自己很幸福（eg. PUA）我自己也经常说我常常会有觉得“做家庭主妇不错”的想法，但是我们能够通过理性思考和剖析来解释这种想法产生的原因，和为什么我自己不应该做家庭主妇。我们应该做的是批评这种词汇的创造，并且警惕这种陷阱，互相提醒。,2023-08-12 12:52,13441,4387,135,,,
NgqpNa8NI,https://weibo.cn/comment/NgqpNa8NI?uid=5115269913&rl=0#cmtfrm,:大家真的擅用ChatGPT，把自己的简历直接复制粘贴进去，跟它说自己要申请什么，让它帮你improve。文书也是的，还可以让它用formal/informal/哪个作家的语气来改你的文书，吊打大部分留学中介和工作咨询。面试上的问题也让它给你写好模板，“as a law student how to answer xxx”。如果简单的语法问题就：”improve grammar: 复制粘贴你的句子”,2023-08-27 00:41,3174,895,69,,,
N9Iwd1pTg,https://weibo.cn/comment/N9Iwd1pTg?uid=5115269913&rl=0#cmtfrm,":为什么我们父母一辈朝九晚五，可以养活一家三口，努力一下可以买得起房子和车子，而我们现在无论如何怎么打拼也仿佛追不上经济发展的脚步？我们这么匆忙的生活到底是为了什么？我们每天996的工作获得了什么？为什么我们陷入消费主义的怪圈中难以挣脱？我重新安利一下我翻译的《反资本世界简史》，大卫哈维让我们重新思考围绕在自己身边发生的一切。大卫·哈维在书中指出了资本主义不受控制的呈指数级增长的问题。经济增长是一件好事情，但是当复合型增长的经济体量大的某种程度的时候，社会将不得不改变自己的生活和发展节奏来适应这种经济发展。但是各国又都把经济发展作为政绩指标，使得资本主义不得不扩大自己剥削的力度。不仅是我们这些工人不能停，资本家们也有竞争的压力，稍不留神就会被对手赶超，所以所有人都陷入了努力维持增长率的焦虑中。而且同时，资本需要消耗这些新生产出来的东西，也需要有更多购买力来购买，于是他们想出了让人负债的方法，通过各种各样的手段让人们背上贷款，无论是学生贷款，房贷，还是其他的贷款，这样才能让他们不得不一直被剥削。薅羊毛太多，羊会不高兴。所以资本想出了“补偿性消费”来让工人们持续工作的热情。 大卫·哈维在书中这样说道，“这需要在资本和劳工之间进行浮士德式的交易，资本对劳工说，""我们知道我们无法创造出适合你们的劳动过程，但我们可以对你们进行补偿。我们可以让你结束劳动回家的时候，手边能有大量的廉价消费品，你们将从这些廉价消费品中获得你们所渴望的所有疯狂的幸福。这些消费品将会弥补你在工作中的悲惨遭遇。” 资本家们没有提高工人们的工资，但是通过降低商品的价格让人们能够用同样的钱买到更多的东西，通过消费产生满足感。这也就是为什么我们能够看到越来越多让我们产生“买了就能获得快乐”的东西，比如奶茶，奢侈品包包，衣服首饰，电子产品……在这些消费中，资本家再次获利，一个人赢两次简称双赢。当然这些产品的特点都是更新换代很快，或者不经用，你需要持续消费保持你的这种快乐，不知不觉你被剥削赚来的钱就又进了资本家的口袋中。 后来资本还发现了另一个好东西，那就是没有排他性的东西，比如说Netflix的剧，拍一部一次可以成千上万的人看，而且看完就没了，他们还得找下一部剧看，这不比生产一次只能一个人买的实际用品合算的多？ 本螺丝钉看完这段感觉自己的生活完全被资本操控了。这本书还解答了我的一个疑问，那就是，为什么我们越来越少的从工作中获得满足感？前阵子和朋友聊天，她跟我说了一个很有意思的例子，叫“资本市场流水线工人”。讲的是说一个律所，因为工作量实在太大，于是让每个人负责写合同的一个条款，这样就可以“熟能生巧”一次性生产很多的合同出来。资本主义，不愧是你。言归正传，大卫·哈维在书中也谈到了异化的问题。我们在工作中感受到疲劳是正常的，因为这就是资本主义的本质。通过工厂制度让工人无法发挥创造性和自主性，从而最大化生产效率。在这个过程中，工人从劳动中获得的喜悦感消失了，取而代之的是在工作环境中感受不到尊重。这就是异化感的来源。 而可怕的是，不论是传统的工厂，还是我上述提到的华尔街白领职业，都会变成这种为了达到效率不择手段的牺牲品。在以往，工人们可以通过自己独特的工作技能，作为谈判资本和资本家协商。但是现在，资本家掌握了生产工具，不会给工人们时间来自我发挥。如我上面所说的写合同的事情，也许三年以后十个人里面有一个人学会了怎么写整个合同，而剩下的九个人就是资本废弃的螺丝钉——没有人关心你是否学到了技能，你是否能在别处就业，你未来的职业发展甚至人生发展是怎么样的，你只需要写完你前面的合同条款，不知疲惫。最后，来聊一聊新冠带来的影响。这本书写于新冠初期，但是大卫·哈维对新冠发展的预测惊人的准确，尤其是在其对劳工关系和权益，以及人们对自由的追求这一块。大卫·哈维在书中提到了，马克思主义中的“自由”指的是，在我们对必需品的需求得到满足以后，能够去追求自己想做的事情。我们不需要一天上八小时的班也能有地方住，有饭吃，而这需要集体行动，只有在社会主义的结构下才能够实现。因为新冠的原因，许多“社会主义政策”在美国开放了。廉住房，免费食物，大量的经济补贴——人们获得了比以往更多的自由时光，也因为这些紧急救济的计划而不需要担心衣食住行了。他们突然发现做螺丝钉不香了，不愿意回到以往的岗位被继续剥削。然后我们就看到各行各业缺人，餐馆把薪资提高到了以往的两倍也招不到人。我们甚至收到了外卖平台短信问要不要去做送餐员。在我们的行业，公司把工资一加再加也留不住人们离职的步伐。大卫·哈维说，这是一个好的开始，人们开始意识到我们需要行动起来抵抗资本主义，抵抗这种对自己创造力，劳动力，和精力的剥削。做一颗意识觉醒的螺丝钉，从吃下这颗红色药丸开始。这就是这本书的意义。",2023-07-13 21:54,773,408,18,,,
NdYSxFrwR,https://weibo.cn/comment/NdYSxFrwR?uid=5115269913&rl=0#cmtfrm,:江浙沪独生女是什么“全职女儿“以后的恶心概念，父权结构和消费主义洗脑的双重打击。大部分网络上的“炫耀”都是出自20出头的小女孩，她们还没有直面生活和社会的压力，比如其他人说的“能够掏百万送我出国的父母因为我不愿意去相亲要逼死我”冲突。看到公众号写：“父母给她安排了好一种避开所有劳累与凶险的生活，让她从光腿穿巴宝莉衬衫的快乐留学生，最终稳妥地进阶为穿新中式戴翡翠的江南贵妇。” 这跟我家的猫有什么区别，就是宠物在父权结构下的所有权交接，从父母手上转交到了丈夫手上，别说什么父母给彩礼的，我领养猫的时候也送了猫砂盆和猫粮。,2023-08-10 22:54,1951,265,39,,,
NiyaytGPn,https://weibo.cn/comment/NiyaytGPn?uid=5115269913&rl=0#cmtfrm,:推荐一个播客叫Acquired，我们组M&A律师们，从合伙人到一年级的最爱。每次吃饭就坐下来讲里面的公司和案子，搞得我也不得不开始听，不过真的很精彩。每一集都3-4小时，非常长但是内容很详细，从公司的发家史开始讲并购扩张的历史，期间还讲了很多行业的分析。比如我现在听的LVMH，讲了很多关于奢侈品和时尚的内容，比如为什么现在女包是奢侈品里面最流行的东西？因为随着社会的发展，女性以前常用的帽子，手套都不再流行，而且随着女性的独立她们出行不需要很多女佣陪伴，那么手包就变成了同时具有收纳私人出行物件和展示时尚品味的东西。还有讲到了为什么LVMH扩张到现在可以做到奢侈品集团巨头，因为他们收购了很多奢侈品和时尚品牌，控制了产业链，节省了分销时候的花销，同时也有底气跟高端百货商店说自己以后只付租金，在百货商店里自己品牌的店员和销售由自己负责，当然利益也全部由公司自己拿。,2023-09-10 00:06,363,119,9,,,
NrwvQ6bYO,https://weibo.cn/comment/NrwvQ6bYO?uid=5115269913&rl=0#cmtfrm,:我在豆瓣上有一个书单叫all about the money，里面是近年来讲金融圈/华尔街/硅谷比较火的书，读完going infinite感觉真的全部都是一个套路：天才少年少女从小与众不同，进入名校，大家觉得此人日后必定不是池中物，疯狂投钱，开始诈骗，普通人因为他们的诈骗而受到威胁丢失工作倾家荡产妻离子散，他们花天酒地功成名就筑高楼宴宾客，然后一朝醒来楼塌了。期间某一家big law firm会在里面扮演助纣为虐的邪恶角色并牟取暴利而且每次都能安然无恙脱身。,2023-11-08 00:26,438,90,11,,,
NcCjmEPij,https://weibo.cn/comment/NcCjmEPij?uid=5115269913&rl=0#cmtfrm,:发现一些大家面试时候容易忽略的地方，1. 讲一个经历的时候，给一两句基本的介绍。比如在xx公司/律所工作过，先介绍一下这个公司是做什么的，不然面试官会对你说的什么感到很陌生。2. 问题要从自己角度回答。比如问你，这个实习经历怎么样。别扯什么公司很厉害，工作内容很厉害，上司很厉害，一定要具体具体讲你自己做了什么，做了什么项目，写了什么文件，从什么角度分析了什么legal issue。面试的重点是体现出你自己的能力。3. 别讲车轱辘话，越具体化越好。别讲什么“我在炸鸡店打工了三个月”，要讲“我每天负责把鸡肉裹上面粉和调料，监控油温，把鸡肉安全地放在油里面洗澡，还要负责和顾客沟通收款，每日卖出一百个炸鸡腿”。,2023-08-01 23:37,342,72,4,,,
NbVAPj4vW,https://weibo.cn/comment/NbVAPj4vW?uid=5115269913&rl=0#cmtfrm,:《女性不需要完美，女性电影也是》我一位友邻不知道为什么转发了十几条批评《芭比》的帖子，其激进程度包括了：“这完全是一部没有意义的影片”“拙劣的资本主义糖衣炮弹” “我为什么不去看女权脱口秀” “你们女性主义者也太好满足了” “谁让导演说想竞争奥斯卡”…我就觉得很荒谬。充满男性凝视的大部分作品。物价符号化女性。把女性作为花瓶。X女郎。好莱坞和国内电影圈对女性的压榨和话语权的剥夺……这些不去批评，逮着一部由女性制作执导讲女性处境不容易的作品批评。讲它内容不深刻，讲对女性处境分析不够一针见血，讲它有野心要竞争奥斯卡，讲它只从白女视角看问题，讲它给了男性角色成长的空间，讲它剧情有媚男的成分，连它批评男性的角度都不对。我承认《芭比》不是一部完美的作品，但是大家不要把现在的创作环境想得过于理想化，觉得有过几次女性主义和平权运动以后大家就真的是平等的了，有话语权有选择空间，可以不受资本的限制自由表达了。两位女性主创也在采访里面说了，每次和高层开会，她们都会以激进的方式问，“你对剧本有什么意见吗？有什么让你觉得敏感的地方吗？” 她们用很巧妙的方式让整个剧本充满了敏感点，让高层无法注重于一个点然后否决掉，从而推荐电影的创作。没有什么是一蹴而就的，所有的思想推进都需要有群众的支持，光靠一小部分会理论会解构，会从细节头头是道分析我们女性主义到底应该怎么发展的知识分子是没有用的。让更多的人接触到这些概念，开始思考和启蒙，才是传播和延续思想的关键。包括上野千鹤子的作品，要从学术理论角度来说有很多可以批评的地方。我之前也写过一些批评方向的分析，但是不妨碍我给她每本书打五颗星，因为她确实是在努力用通俗的语言引起大家的思考，让女性思考自身的处境，想清楚哪些是父权社会强加在自己身上的枷锁，自己想要的到底是什么，也让男性思考自己所处社会的状况。我们能够在电影院看到一部能够把商业和内容做到平衡的女性电影已经是很难得的事情了。就像电影里面说的，“你不需要做一个完美的女人。”女性电影也是如此。,2023-07-28 10:52,361,72,2,,,
N6mZY9ep6,https://weibo.cn/comment/N6mZY9ep6?uid=5115269913&rl=0#cmtfrm,申请JD/LLM别找中介，理由如下：  [组图共7张] 原图 ,2023-06-21 21:36,100,70,4,,,
NstTKn6i3,https://weibo.cn/comment/NstTKn6i3?uid=5115269913&rl=0#cmtfrm,为什么要嘲笑清华博士毕业去占卜赚钱的女生呢？大家都是在占卜，只不过有的在hedge fund，有的在machine learning实验室，有的在生物实验室罢了  ,2023-11-14 07:37,298,70,4,,,
