wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
N4AY9jHWx,https://weibo.cn/comment/N4AY9jHWx?uid=6004473406&rl=0#cmtfrm,发现转发的原po不见了以后，点进去tag  [组图共2张] 原图 ,2023-06-10 05:29,2683,3691,8,,,
N7npwiA68,https://weibo.cn/comment/N7npwiA68?uid=6004473406&rl=0#cmtfrm,另一种高考志愿指南。  [组图共3张] 原图 ,2023-06-28 12:29,5578,1207,8,,,
NlJwFbTQp,https://weibo.cn/comment/NlJwFbTQp?uid=6004473406&rl=0#cmtfrm,裸露和色情确实不是一回事，我感觉现在的风向是，是色情的自由是有的，“毕竟是艺术“；但不符合男凝审美的没有性化价值的身体就没有裸露的自由，会被羞辱。  ,2023-09-30 22:32,1131,615,10,,,
N4X1q4juy,https://weibo.cn/comment/N4X1q4juy?uid=6004473406&rl=0#cmtfrm,最近的感受就是，舆论议程操作感极强。每来一个大规模incel性别恐怖主义的新闻，接下来就会揪出来一个女人进行猎巫行动。 越来越频繁，越来越恶劣。  ,2023-06-12 13:38,3066,506,37,,,
Nw9KwnG8n,https://weibo.cn/comment/Nw9KwnG8n?uid=6004473406&rl=0#cmtfrm,女的参加革命了没？参加了。 女的在生产劳动的中发挥重要作用了吗？发挥了。那怎么女的还是没权？女的不是因为没参加，所以没权力；女的是因为没权力，所以【被】没参加。  ,2023-12-08 11:40,1768,417,12,,,
N7GFon4Z6,https://weibo.cn/comment/N7GFon4Z6?uid=6004473406&rl=0#cmtfrm,:其实拍脑袋想一下就不可能有男耕女织、男狩猎女采集、男干活女仅家务…….男权社会，怎么可能让女人活得更轻松？怎么可能让女人占据劳动能获得更高价值回报的岗位？男耕，女又耕又织又家务又生娃养娃男狩猎，女又狩猎又采集又家务又生娃养娃男外出工作，女在家接活又家务又生娃养娃以上还算好的，还有一大波儿男躺着啥也不干女又干活又家务又生娃养娃,2023-06-30 13:31,2773,396,40,,,
NlF8tEP5b,https://weibo.cn/comment/NlF8tEP5b?uid=6004473406&rl=0#cmtfrm,自由男权非常成功的是，当女人们反抗摒弃传统男权，想要自由，想要酷，想要先进时髦的时候，非常敏锐抓住时机，抢夺定义权，想要由他们定义什么是自由先进时髦酷。  ,2023-09-30 11:21,2345,332,33,,,
N4VzgxxCL,https://weibo.cn/comment/N4VzgxxCL?uid=6004473406&rl=0#cmtfrm,好像“老农民“一词一出，自动默认是一位淳朴的，战战兢兢有冤也不敢说的，天然就站在纯洁无暇的道德高地的老实巴交的中老年男的。 一般别的事情，也想不到他，但是需要猎巫围剿女权的时候，他的形象就成了蛆的武器。  ,2023-06-12 09:56,1972,283,23,,,
NxZfODad1,https://weibo.cn/comment/NxZfODad1?uid=6004473406&rl=0#cmtfrm,其实每次看到女老板女明星女网友等等女人们捐钱为月经贫困的女孩买卫生巾，感动之余会生气。我们女人难道没生产没纳税？凭啥男人的各种需求由社会买单，也平摊到女人头上，而我们的具有社会性的生育带来的需求居然都成了“私人需求“需要女性掏自己的腰包互助？  ,2023-12-20 12:38,12387,278,125,,,
NqcKjEqWY,https://weibo.cn/comment/NqcKjEqWY?uid=6004473406&rl=0#cmtfrm,🍠刷到一个批判营销奶辣风的视频，博主指出给女童穿成人化的衣服并且刻意博眼球摆不合适的姿势是在性化儿童，讲其危害性。然后弹幕和评论区“自由自由自由“， 你们死了真的  [组图共6张] 原图 ,2023-10-30 08:16,4252,265,59,,,
