wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
KD7EtCUbO,https://weibo.cn/comment/KD7EtCUbO?uid=6905777761&rl=0#cmtfrm,:“厌茶”是厌弱。我确实接触过一些“有心机”的女人，懂得撒娇讨巧的小话术。但这不是说明她聪明，而是说明她失权，永远要看别人脸色说话。这其实散发了一个讯号：因为她弱，所以厌她是无风险、无成本的。所以不论女男都热衷于拆穿绿茶，猎巫绿茶，抱团嘲笑绿茶，通过欺弱来满足权力欲，并且绝对安全。女人的“绿茶气”有时候根本不需要伪装，因为她本身就是弱者。做什么事情之前都犹犹疑疑，再三拿捏自己的用词和语气才开口，不自觉得放轻、放柔嗓音，总是不自觉得看别人脸色期待对方的认可……这些规训深入骨髓之后，女人个个都是无师自通的“茶艺大师”。学会不端茶才是女人的必修课。,2021-10-17 10:59,499,133,11,,,
KxERiCqZ5,https://weibo.cn/comment/KxERiCqZ5?uid=6905777761&rl=0#cmtfrm,:宁见确实也是出于这个考虑支持限制堕胎。比如在德州就有女性组织不与男性性交的运动。宁见认为，只有限制向下的自由才会迫使人追求向上的自由。我看到一位女权网友说：自由堕胎权不需要你去争，想要乱射精的男人会给你把这个“权利”给争回来。真是一针见血。而我倾向于限制堕胎的法理的原因是，男权的两种堕胎法理：自由/禁止，分别对应了“胎儿是母亲的一部分”和“胎儿是生命”两种观念，并且在男权哲学中这是不兼容的，把母子推向天然对立的境遇。其实我能理解女人在自由/禁止堕胎中选择前者，但必须指出这只是在比烂中选择一种没那么烂的，最后是殊途同归得受害而不是掌权。母权有一个词是造命，母是一条命，母身体的一部分又是一条命。这种生命体验是男身不可能有的，而女性的法理、秩序、哲学必须立足于女身的生命体验。//@今天也在开心地打拳 :限制堕胎是让女人谨慎对待怀孕？我想，我懂最右的意思了，堕胎自由看似自由，本质上却是女人为男人的性谎言买单。真正的自由是女人想怀孕就怀，不存在意外怀孕。对比德州的堕胎相关新闻，感觉很讽刺。//@宁见法官 :谢谢你，一时不知道说什么了。从结果上看人工流产泛滥无疑是生育权被动的结果，因为女性但凡能选择都不愿意遭受意外怀孕。男性的射精特权被自由堕胎兜底，所以堕胎率世界第一的中国女性反而会对拒绝/向男性提要求感到更加无力。,2021-09-11 12:30,108,112,5,,,
Ki8mYvpfI,https://weibo.cn/comment/Ki8mYvpfI?uid=6905777761&rl=0#cmtfrm,只有提高生育女性的待遇，才能实实在在地提高生育率。这么简单的道理，制定政策的人是真的不知道吗？不如换个角度：如果提高生育率从一开始就是个幌子，真实目的是为了对抗日益崛起的女性意识，稳固男性统治呢？这个幌子很成功，每次拿生育率做文章，女人就迷失了敌人，开始恨子宫了#碎碎念#  ,2021-06-01 10:12,256,91,9,,,
K55AjsACp,https://weibo.cn/comment/K55AjsACp?uid=6905777761&rl=0#cmtfrm,:#随笔#  可见化之前看到yang说，真正的亲伦（母缘）是可以被看见的：妈妈生下孩子，母子互相看见，母权自然而然地就开始了。必须说明的是，从古至今，人类中完全由生母独自分娩是反自然的，即使是父权社会也不是常态。从这点上说，分娩的过程其实就足以反驳生母母权和孤母母权了：看见孩子的不仅是生母，还有围绕在生母身边的女人们（众母）。生育过程中的每一个环节：月经（怀孕的第一个天然信号就是停经），分娩，哺乳等等，女人都需要她人的“看见”。这是女性人类的自然属性：无法像独居雌性动物那样完全独立地生养孩子。当一个女人对生育的任何一环感到羞耻的时候，其实就是母权被侵蚀了：羞耻意味着需要回避，回避即得不到充足的社会支持。性行为不需要、排斥她人的“看见”则是人的另一种自然属性。性缘关系的脆弱也正是因为性是不具备可见性的行为，就连性的前奏也需要一定程度的隐秘，文艺点说就是需要暧昧。但是，“可见、可言说”才是构建社会关系的基础。父权为了掠夺母权，将生育行为性化（羞耻化），又将性行为生育化（可见化）。既痛恨性，又追捧性。努力把男人塞进产房，结果看完老婆生孩子，又轻则不适重则阳痿。性缘（婚恋）正是把性的可见化做到极致后的产物。质疑“配偶”女权区已经讨论的足够多，但还需要质疑“恋人”身份存在的合理性（不是质疑性行为的合理性）。有没有发生性行为，性行为满不满足是不便昭告天下的隐私，但有没有性的固定对象（恋爱状况）又不是难以启齿的；两个人以情侣身份出现，谁都知道她们是要做爱的，但如果真的去问“你们做爱没”又是冒犯的，这种可说与不可说的微妙差别正是性可见化之后造成的种种扭曲与错乱。此外我个人认为，乱仑作为一种非小众性癖起因正是将生育行为性化。,2021-03-07 15:13,279,82,88,,,
KEI0Zp7H9,https://weibo.cn/comment/KEI0Zp7H9?uid=6905777761&rl=0#cmtfrm,:与其说我是越来越执着于“好好说话”这回事，不如说我对微小之恶、平庸之恶越来越无法容忍。好好说话不是件容易的事，你在交流的时候要考虑对方的感受；无意地冒犯也要道歉，不同观点的碰撞要学会分辨对方的用意不要任凭攻击欲发作。有时候即使是相同的话语，背后的用意也可能完全不同。在某一个时期，我是一个“不拘小节”的人。那时我相信这世上许多人心是好的，只是心直口快，脾气有点不好，偶尔会愱度别人会幸灾乐祸。我甚至觉得这些缺点令她们更加真实而可爱。我以前经常用这套说辞来理解我妈妈。直到现在我依然觉得她是爱我的，她实实在在给我投资了很多；但是有一天我忽然想到：我无限得原谅她，那我未来要是伤害了我的女儿，即使我是无意的，难道还要求她来谅解我吗？我原谅我妈的有口无心，我女儿再原谅我的有口无心，世世代代都受伤，祖祖辈辈都无辜，永无进步。我甚至开始怀疑起最初的“有口无心”的判断：一个人是真的不知道自己在伤害别人吗？即使这伤害非常微小，甚至包裹在“玩笑”和“关爱”里？真的不知道吗？即使真的不知道，是从出生开始就不知道吗？起码在她还是个孩子的时候，她的心一定是软得一碰就碎的。如今不好好说话已经成为了一种“萌点”，另一种“政治正确”，听听这些词：口蜜腹剑，笑里藏刀，有小礼而无大义。实际上更多人是嘴臭腹贱，恶语捅刀，无礼且无耻。尽管我没结婚，却突然明白了婚女为什么会一而再再而三地原谅丈夫：她的知觉已经被微小之恶、平庸之恶给麻痹了；被丈夫长期殴打的妇女也会丧失掉对安全的判断力。这一切从一个小女孩刚出生就开始了。勿以恶小而为之，勿以恶小而谅之。,2021-10-27 21:24,126,80,4,,,
KsNJkyvWp,https://weibo.cn/comment/KsNJkyvWp?uid=6905777761&rl=0#cmtfrm,:我觉得比起思考“纳入式是性行为还是生育行为”，更重要的是意识到：纳入是女人在单方面承担成本。即使做了输精管结扎，性病宫颈癌的风险也是女人担；即使能确保性对象男绝对干净，仅仅是纳入这个行为就会引发宫颈炎和阴道炎。性是男人对女人的单方面的威慑武器。为什么擦亮眼是笑话，就是因为擦亮眼是把男人使用这个武器的可能性降低，而不是“除你武器”。不生男和纳入自由是绝对不能兼容的东西。即，追求性对女人来说是“除我武器”。说不生男，那怎么确保男人一定结扎了输精管？扎了能不能复通？安全套失败率18%，或者扎个小孔你能不能看出来？安全套破裂了怎么办？事后药有没有可能失效？多来几次总能让你意外怀孕，意外怀孕哎，怎么确保不生男？自己掏钱去堕胎的真女权？,2021-08-10 13:53,355,79,7,,,
L2Gej9c6T,https://weibo.cn/comment/L2Gej9c6T?uid=6905777761&rl=0#cmtfrm,:提起母系，似乎总是想起茹毛饮血衣不蔽体的时代。一个重要原因是女性考古学一直被长期打压。所谓的女权灯塔北欧，也不是才承认维京女战士的存在。这造成的一个后果是，我们似乎认为，现有文字记录的历史里没有母系的存在，已经全是父权的历史。实际上我认为母系变父的历史并不神秘也不悠久，文字诚实得记录了母系斗争与失败的一切。举个例子秦始皇的母亲赵姬，史记的记载含含糊糊甚至自相矛盾，一会是“吕不韦姬”，一会又是赵氏豪门女儿。且搁置她的身份，先看看她干了什么：嬴政登基后她以太后身份从政，并与嫪毐生了两个儿子（找不到这两个孩子的资料，有没有可能是两个女儿？母亲赵姬想要扶持自己的两个女儿而非男儿嬴政，或许也是嬴政对母亲狠毒的原因），嬴政在政治斗争中击败了母亲并把她囚禁起来，并杀死了自己的两个妹妹（或弟弟）；有许多大臣进言释放赵姬都被秦始皇杀了，前后杀了二十七个人，最后还是顶不住压力释放了赵姬，继续尊她为太后。如果当时已经是明清那样成熟的男权社会，赵姬怎么还能在丧夫之后还享有性的自主权，甚至生了两个孩子？而且还没有那么多大臣为了她不惜死谏秦始皇？秦始皇杀的有没有可能大多是尊崇母系的女大臣？赵姬的失败既是她个人政治斗争的失败，也完全有可能是母系的失败。秦始皇囚母就是东方的俄瑞斯忒斯。从春秋战国到秦汉，母系的衰微是很明显的，也有很丰富的文字证据，只是一直得不到重视。如果仍嫌太久远，邻国日韩母系变父的历史更是近的多；还有母权区说的比较多的摩梭族，其实分为母系摩梭（永宁）和父系摩梭（拉伯），后者在仅花了一百余年就完成了父系改造。离我们这样近的母系社会的消亡，其实更应该引起警觉和研究，而不是局限于各种破碎的神话中推敲母系变父的端倪，这当然也有意义，但是思维可以开阔一些。,2021-11-22 17:44,175,52,8,,,
KCKu7lR6w,https://weibo.cn/comment/KCKu7lR6w?uid=6905777761&rl=0#cmtfrm,:我最近也渐渐收回了“不女权是因为被洗脑”的想法，因为女权的门槛不是知识，而是趋利避害和同类相亲的生物本能。这不需要任何的知识。厌女者是因为没有秩序的教化，诱发了人性之恶。即使不说“非我族类”这种话，对待她们的方式也不是给予更多同理心，那不过是强行乞讨的手段。网页链接 网页链接 ,2021-10-15 00:00,286,48,11,,,
KpTxVr4SC,https://weibo.cn/comment/KpTxVr4SC?uid=6905777761&rl=0#cmtfrm,“由于女男不可抹消的生理成本差异，能与男性凝视对抗的不是女性凝视，而是无视男性”（来自网友）#碎碎念#  ,2021-07-22 11:11,187,45,6,,,
KbN1Lbgp3,https://weibo.cn/comment/KbN1Lbgp3?uid=6905777761&rl=0#cmtfrm,:对性别和阶级有了一点新的想法。有叛乱意识的子别需要靠构建“他者”来达成同盟关系，性别是天然划分，因此子别第一步必定是将女性构建为他者，建立厌女联盟。但由于子别之间无联结能力，在没有女人的场合，需要新的“他者”。没有了女男的天然二别，他者的构建就陷入了混乱。性向、种族、地域乃至姓氏都可以成为构建他者的理由。最终形成阶级。一切鄙视链都起源于厌女。母别凭自身权能足以达成联结，不需要构建他者；我信任女身的天赋权能，所以相信不会有生来厌女的女人。让迷失的母别意识到自身的权能是重中之重#碎碎念#,2021-04-20 16:51,120,33,3,,,
