wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
NqyqY0Rp3,https://weibo.cn/comment/NqyqY0Rp3?uid=7770920737&rl=0#cmtfrm,女性的漏尿根本不是从生完孩子开始的，是从有过第一次插入式性行为后就开始了。我身边有这个问题的人也不止我一个。哪怕我前后好几年没有插入，我漏尿的问题也没有丝毫改善。我是非常愤怒的，我愤怒于我从小被告知我要用牺牲我身体健康的方式去满足别人的欲望，同时每个人都说这是正常的  ,2023-11-01 15:29,870,248,51,,,
NkVc7tVpK,https://weibo.cn/comment/NkVc7tVpK?uid=7770920737&rl=0#cmtfrm,一天到晚嚷嚷着女孩子要保护好自己，却一不告诉你的女儿最有效的办法是攻击裆部，二不告诉你的女儿纳入式不仅会让她怀孕还让她生各种病。哪里是真正在意女孩的死活，免责声明罢了  ,2023-09-25 14:24,2698,93,92,,,
NwF8lksOC,https://weibo.cn/comment/NwF8lksOC?uid=7770920737&rl=0#cmtfrm,如果黑人的人权运动是为了发现好白人，是为了大海捞针找到一个正常的白人来爱自己心疼自己照顾自己，你听听你听听，这多么搞笑。  ,2023-12-11 19:34,721,65,8,,,
NtTDR3lod,https://weibo.cn/comment/NtTDR3lod?uid=7770920737&rl=0#cmtfrm,:《看不见的女性》一书中提到，世界上的一切都是默认为男性设计供男性使用的。比如汽车碰撞试验，座椅是以成年男性的体型为参考。比如说钢琴的琴键也是，男人的骨架更大，因此钢琴本身就不适应女性的双手。但是您猜怎么着，我国第一代钢琴家，梁祝的创造者，是巫漪丽女士。在一切都围绕男宝转的地球上，女性还如此出色，生而为女凭什么不骄傲,2023-11-23 14:59,1629,59,39,,,
Ndbew2Kuy,https://weibo.cn/comment/Ndbew2Kuy?uid=7770920737&rl=0#cmtfrm,一边从小限制小女孩跟她说女孩就要有女孩的样子；一边从小洗脑小女孩：太女孩了是不好的是值得羞耻的，你要以自称哥自称爷为荣，越男越好。全社会一起让一个小孩从小就厌恶自己的性别，难道还不够恶毒吗  ,2023-08-05 16:31,1941,59,24,,,
MwGzb9vvp,https://weibo.cn/comment/MwGzb9vvp?uid=7770920737&rl=0#cmtfrm,刚刚出了线性代数的成绩，满分1.0我拿了1.3，怎么说呢，我们女孩子不仅适合转码，适合理工科，也适合学一切我们想学的东西，只要自己想做并且去付出行动，就没有什么是不可能的。尽管尽情遵从你的心  原图 ,2023-03-11 00:29,2135,41,59,,,
N8NX8z4gm,https://weibo.cn/comment/N8NX8z4gm?uid=7770920737&rl=0#cmtfrm,:看到一些降智言论，我很想说：纳入式性行为不戴套的话，会怀孕是一方面；最重要的是，男性的生殖器官和排泄器官是一体的，不像女性快感器官、产道以及尿尿的地方是三个不同器官，也就是说，哪怕对方没有任何疾病，他生殖器上携带的细菌也可能会给你带来妇科疾病。在此科普一下我国已婚夫妻51%发生性行为时不戴套，98%的已婚女性患有妇科疾病（至于具体是什么疾病我不清楚大家可以自行去查）请记住身体健康永远是第一位,2023-07-07 21:54,161,40,9,,,
Nx9a6tmop,https://weibo.cn/comment/Nx9a6tmop?uid=7770920737&rl=0#cmtfrm,所有的中性词都是用来掩盖男人的恶和女人的苦的。比如说“行房事”，是女的顶着妇科病的后果和怀孕打胎的风险，在没有性高潮的情况下满足男人的欲望；比如说“包办婚姻”，根本就是母父把女儿送给陌生男人强奸罢了。所以要警惕语言的使用  ,2023-12-15 00:01,781,35,25,,,
N2FfqBsAM,https://weibo.cn/comment/N2FfqBsAM?uid=7770920737&rl=0#cmtfrm,最适合中国宝宝体质的数典忘祖：都是从女人阴道里出来的，却一天到晚都在嫌弃月经脏、不吉利、忌讳（不仅如此，还愚昧落后，固步自封，刚脱落的子宫内膜怕是比你们这些人的脸都还要干净  ,2023-05-28 12:42,946,30,10,,,
MCybXvFuS,https://weibo.cn/comment/MCybXvFuS?uid=7770920737&rl=0#cmtfrm,这几天强烈地感受到，最真实的属于“我自己”这个概念的除了强健的体魄、充沛的精力之外，还有坚韧的意志力。不论外界怎样变化，这三样都是没有办法被拿走的。并且只要拥有健康的身体，足够的精力和意志力，自我的世界就永远不会崩塌。  ,2023-04-18 14:11,85,23,1,,,
