content,publish_time,like_numlocation,forward_num,comment_num
一亩三分地这种incel论坛又做了他本身预料之内的事情，他把网上随机找到的美女的自拍配图说是陪酒女。原文讲的陪酒的是这个韩，为什么要用别人的照片？对照片本人难道不是污蔑吗，这是一种多么扭曲的居心？  [组图共2张] 原图,2023-10-26 02:57,84,77,0
老钟人谈恋爱是这样的：先暧昧三个月，再拉拉小手半年，再一起逛街半年，再见家长半年，半年之后结婚，洞房花烛夜掏出牛子一看，太小，根本impossible to perform。完了  ,2023-11-11 05:20,444,28,2
:其实在美国经常看到的两口子很明显，必定十指相扣相互注视，而国内见过的人couple，或者在湾区见过的一些典型中国夫妇就不是这个感觉，或者几乎没有爱情迸发的感觉。跟朋友出去吃火锅，朋友很八卦，就说隔壁桌的一些情侣居然俩人吃火锅的时候各自玩手机，这有啥意思。我感觉老钟人在一起可能并没有什么爱情的成分，更多是觉得双码工家庭好买房。,2023-10-09 01:48,50,21,0
:男的很有意思。他们基本上都非常自大，其实能让他有“灵魂伴侣”感觉的女生都是way over his league的女生，不过他爱的不过是用这个女生的外表的躯壳盛装的他脑海中的理想人物，这个男权社会压抑的他内心的女性化的，小公主的一面的那个自我，郭敬明脑海里的周崇光，刘慈欣脑海里的叶文洁。而这个女生本身根本就是超出他想象的存在。对方即使愿意跟他发生什么也是屈尊一下，也许是换取一些男权社会不愿意给她们的便利。因为这些男的非常自大，他根本无法破除这种自大去提升认知，了解这些真正的女的是什么样的。,2023-12-05 03:27,67,15,3
东亚社会大家对所谓title，资历都有畏惧，其实不过是纸老虎一般的光环。戳破幻想，把精力用在实际的地方，就可以避免很多不必要的内耗。  ,2023-10-31 14:43,32,12,1
:我觉得要不要靠男人这件事是这样的。如果你很贫穷，在这个层面上根本谈不到女权。权利本身跟物质一定是挂钩的，有物质支撑才有话语权，这个结论也不是我说的，是一百年前的女权先锋研究者弗吉尼亚乌尔夫说的。女的必须先物质独立才能精神独立。如果你连独立的物质都没有，然后你的穷亲戚都会欺负你，还会让你不要去想办法变富，这当然是更加其心可诛。有了物质支撑有话语权之后，熟练运用话语权，学会使用掌握权力，才是你不要继续捞男人的前提，因为你不需要了，这个时候明白这件事就跟断腿痊愈之后扔拐杖一样，自然而然，完全是治疗认知问题。在此之前你要怎么活完全是客观的生存障碍。在你贫穷的时候judge你，想折断你翅膀的人，就是坏人，你把他当放屁。,2023-11-12 12:23,19,10,10
:我个人观点是纯为了择偶服美役没什么意义，因为你要是想择偶，外貌进入男的的择偶框架就可以了。男的的择偶框架其实又非常低，又很多样，而且大部分男基本都没有什么审美。看上去讨人喜欢，并不需要很优越的生理条件，就算是个中人也很容易进入大部分男的的择偶框架。继续搞只是为了自己开心，自己喜欢，如果你觉得服美役的过程不开心，付出结果不成正比，那也没有必要继续搞了。我觉得微博上大部分颜值博主已经跳出了择偶这层框架，烦恼都是xsr了和网暴了。,2023-11-12 08:00,14,10,0
我真是无语，比如你被骚扰了，你跟一些女的求助，她听到耳朵里的想法是：你跟我在炫耀？  ,2023-11-07 03:53,6,8,0
:past lives的女主其实是我生活中很熟悉的一类人，就是一个自我中心人格投胎成了东亚女的，然后明明自己ego很大还要遵从东亚对女的的那堆规训，呈现出的拧巴人格。因为ego很大，很有自我意识，这类人才可能让一个男的魂牵梦绕很多年，毕竟她对那个东亚男的就是降维打击，只有这种能降维打击的女的才能容纳男的这么多幻想，因为他根本看不透这种女性。她可以为了自己的野心放弃一切。但另一方面她又逼迫自己遵从一些东亚规训，比如结婚拿绿卡移民，有必须成功的压力，有必须不出轨的压力，明明自己对那个黄南很有欲望，也要压抑自己，或者跟一个露水情缘发展到结婚（其实并不必）。她其实是非常自我中心的，但又习惯于迁就周围人。她内心当然是有不舒服，但是她又认为这是对的，她又不想打破这种局面去做真正的自己。她不能忍住自己不去打一些擦边球，但是又不能真正的踏出去，因为她不敢毁灭自己的生活。即使这种忍耐有毒，而现在她把这种毒扩散到自己的丈夫那里。我看到结尾就觉得，这俩人不离婚很难收场。,2023-12-05 04:30,14,7,1
很多所谓慕强的人本身的悲剧在于因为过于渺小和幸存者偏差所谓践踏还没有轮到他，被践踏的时候不过也是误伤，就像巨浪原本的目标是巨石，但也不小心带起一大堆小石子，撞在崖上碎了。  ,2023-10-31 15:57,15,7,0
