wid,weibo_link,content,img_urls,location,publish_time,publish_tool,like_num,forward_num,comment_num
N2vA4lw3L,https://weibo.cn/comment/N2vA4lw3L?uid=6538187047&rl=0#cmtfrm,:长得非常漂亮的女孩子，如果不是从小缺爱、被打压着长大，那么一定是不会追求什么爱情的。因为她会发现，是个男的都爱她。而这些来自男性的“爱”，是很乏味的，也很雷同，基本可以随时替换。男性的爱，根本不算什么东西。只要她开心，男性就愿意爱她了。这会消除她对男人的尊重respect。那么，当然是横着走。拿你们当工具人咯。那么什么可以迷惑一个这样的女孩子呢。她只会被自己的欲望迷惑。desires equal power. lust is easy.,2023-05-27 12:06,2476,280,68,,,
NfV8rDPUc,https://weibo.cn/comment/NfV8rDPUc?uid=6538187047&rl=0#cmtfrm,:真正喜欢小孩的女人其实很少的。很多朋友都说，是稀里糊涂生了，那反正也塞不回去，就硬着头皮去养吧。因为孩子也挺可爱的，不讨厌，激素一上来，也就爱了。这就是“母爱”的状况。真正喜欢孩子的人，其实很清楚自己是喜欢孩子的。就像真正喜欢狗的人早早就知道了。我小时候就知道我一定会养狗的。然后我会愿意学习科学养狗知识，对狗有耐心，给狗花钱花时间。如果没有真正的爱，这一切都是酷刑。而真正喜欢猫狗的人也很少的，可想而知真正喜欢孩子的人也是很少的。喜欢是一回事，懂得教育另一回事。,2023-08-23 17:03,523,53,13,,,
MwsMLF6iE,https://weibo.cn/comment/MwsMLF6iE?uid=6538187047&rl=0#cmtfrm,被什么东西“迷住”的感觉就是快乐。被艺术迷住是最快乐的，因为一边学习，一边练习，往好了看还能创造点什么东西，往差了说也就是愉悦身心。被一种语言、文化、思想迷住，也很快乐。迷住就好好享受，执迷不悟的感觉很美好的。等执着一破，又千帆过尽皆不是了。  ,2023-03-09 13:24,16,17,2,,,
N2h8Cpwtg,https://weibo.cn/comment/N2h8Cpwtg?uid=6538187047&rl=0#cmtfrm,自由有两点秘诀第一 是不要羡慕别人第二 是不要渴望被爱要相信拥有的 就是最适合自己的 错过的 都是不重要的 “没有得到”是幸运的 因为没有得到 所以不受控制 人是被自己得到的事物控制的 而人也不会因为“得到”而幸福太久 得到后 又是平淡与无聊的煎熬要自信 自信就是无所求  ,2023-05-25 23:20,37,15,5,,,
Nv5Q38rRu,https://weibo.cn/comment/Nv5Q38rRu?uid=6538187047&rl=0#cmtfrm,凭着小聪明，人可以走得挺远，小聪明都是些市井智慧，因此在处理人际关系里，争取资源和机会时，也是很管用的。但人不可能凭着小聪明有体面的人生。体面的人生是关乎尊严、尊重、利他主义、合作、理解他人、共情社会，也关乎历史、文化、哲思与反省。这些心智品质是与小聪明有本质区别的。  ,2023-12-01 11:53,16,12,0,,,
NkQd57UjB,https://weibo.cn/comment/NkQd57UjB?uid=6538187047&rl=0#cmtfrm,:这次来东北，是来早了，没看到金灿灿的蒙古栎和红绿相间的枫林。啥也没有，都是绿不绿，黄不黄的。但天气很舒服，通透，干爽，凉快，也不下雨，也不刮风，还能吃个西瓜，吃点冰激淋，撸串喝啤酒，但完全没有闷热的感觉。也许这是东北最舒服的时候，因为一点点寒意都没有。自己一个人旅游的话，最舒服的时候并不是夏天，而是初秋（也许初夏也还行）。这时候没有蚊子，天气干爽，不下雨，温度不冷也不热，走动、徒步、爬山也不会大汗淋漓，只会微微出汗而已。身体活动得开，风不会过大，也不会闷热，紫外线不过强。最重要的是，不需要带很多件衣服，只需要带长袖几件，薄裤子就够了。北方的深秋其实很冷了，风也大，还可能一场雨一场寒。冬天更不用提，一进室内，眼镜上蒙一层雾气，外面暴走几小时进屋，整个人像颗冻梨似的。春天呢？杭州春天美丽，但也一不小心就感冒了，细雨绵绵，要穿薄羽绒。夏天呢？蚊虫厉害，被咬无数个包。但这个时候就看不到深秋的层林尽染，也感受不了真真切切的凌烈寒冬，也没有办法在寒风里看春花绽放。今天突然想，这个时候来真挺好的，这样就能明白，那些惊艳的景色背后，是经年累月的平淡无奇。不会理想化任何季节。金秋十月，也只有那两周罢了。其余时间也是要熬的。在秋天去新疆，那么对新疆的记忆就只停留在那最美的黄金时刻。但新疆并不一直是那样。在冬天来过东北，就不知道原来夏天的东北这么绿。那些平淡无奇的，没有特色的时刻，是一件事物的绝大多数时候的样子。,2023-09-25 01:42,32,8,2,,,
NlYXbhjfO,https://weibo.cn/comment/NlYXbhjfO?uid=6538187047&rl=0#cmtfrm,辽塔 庆州白塔  [组图共9张] 原图 ,2023-10-02 13:48,10,8,2,,,
NtNEmCMe6,https://weibo.cn/comment/NtNEmCMe6?uid=6538187047&rl=0#cmtfrm,:全职妈妈的风险在于，由于人性里存在骄傲、傲慢、控制他人的欲望，于是当一个女性以养育孩子为自己全部的精神生活以后，很容易把教育孩子精细化到可怕的地步。可怕的地方还不是妈妈“放弃了自我”，而是“自我高度膨胀”。比如孩子必须吃自己做的饭菜，不允许外食。比如辅导作业，孩子必须按照自己的意愿会写什么，不会写什么，孩子的艺术（通常指钢琴）成绩必须如何如何，孩子的体育，英文水平，这些都精细到每一个毛孔里。养育孩子本身就是很辛苦的，再有这么多精细的“培养”，妈妈就会变身控制狂魔，而她的自我必然膨胀：看！孩子在我的培养下，日益茁壮成长，又健康又优秀，我的辛苦付出都是正确的，我的努力和明智（一般都在diss别的妈妈不称职或者脑子拎不清）证明了我自己的“优秀”。实际上，这样的妈妈和孩子心灵几乎没有沟通和交流。心灵的沟通和交流，一定不存在于管家和托管者之间。管家认为自己劳苦功高，托管者认为“我又没让你这样做”。还是那句话，人管好自己就足够了，别人有别人的成长历程，那个“别人”也包括你的孩子。,2023-11-22 23:44,10,8,2,,,
N95XJ08bG,https://weibo.cn/comment/N95XJ08bG?uid=6538187047&rl=0#cmtfrm,:我好像不会喜欢上没有叛逆心理的人，不管男生还是女生。叛逆不是表面，不是衣着打扮、吃喝玩乐、生活方式，也不是男女关系开放，更不是怼天怼地。而是要足够轴，认准自己的目标，去付出努力，而且足够聪明，足够潇洒，有幽默感，不软弱，也不愤怒。对别人保持沉默，从不指手画脚，只坚定走自己的路。真正叛逆的人，是会叛逆到棺材里的。假叛逆的人，每天都在表演叛逆。,2023-07-09 19:45,39,8,1,,,
N8qU01Gbk,https://weibo.cn/comment/N8qU01Gbk?uid=6538187047&rl=0#cmtfrm,事实证明“教养”是一个垃圾词汇。人不需教养，没教养反而活得舒服。教养属于精英阶级，而精英阶级是靠利刃和阶级壁垒保护起来的。  ,2023-07-05 11:13,14,7,1,,,
N62avvvtI,https://weibo.cn/comment/N62avvvtI?uid=6538187047&rl=0#cmtfrm,好好保养 管住嘴  [组图共4张] 原图 ,2023-06-19 16:34,5,7,0,,,
N5lcP6sQs,https://weibo.cn/comment/N5lcP6sQs?uid=6538187047&rl=0#cmtfrm,:遇到的人越多 我越意识到一件事 那就是 吝啬的人是绝大多数 慷慨是极其罕见的 深刻的言语比比皆是 但深刻的行为是罕见的 不要再被语言迷惑了 美丽的语言 丑陋的行为 比比皆是 许多人能够表达深刻的思想 只是表达能力的优越 现实中ta本人的行为只根据利益 这其中的反差 令我感到眩晕 说一套做一套 就是这样 而整个世界也就是这样 至于该说多少 做多少全凭良心有几个人有良心啊,2023-06-15 03:12,34,6,4,,,
Mz7x1uJjO,https://weibo.cn/comment/Mz7x1uJjO?uid=6538187047&rl=0#cmtfrm,:亲密关系和学习是一样的。很多人，或者说，现代人，是做不到集中精力在一个人身上。精力几乎都是溃散的。涣散的注意力没有任何意义，我们没有从人际关系里获得什么，还不如“零”。人际关系和恋爱被暧昧取而代之。暧昧就是刺激。刺激肤浅而有害。它令人无法集中注意力，长期专注在一件事上。令人感到幸福的并不是刺激。并不是浑沌、模糊、涣散。而是集中。集中注意力，集中心力，集中思考和感受力。于是才有originality涌现出来。喷薄而出的创造力，源于专注和明晰。长期精力溃散，是长期的睡眠剥夺sleep deprivation。是被恶魔附身，没有一夜好觉，酣睡到天亮。人的智慧就是这样一点点坍塌。每一次攀登珠穆朗玛峰，需要的不是体力，而是心力。,2023-03-27 00:48,20,6,0,,,
Nk4Cq0zpf,https://weibo.cn/comment/Nk4Cq0zpf?uid=6538187047&rl=0#cmtfrm,:一个人的学识 修养 穷尽毕生追求的智慧 就体现在ta如何对待身边人 亲密的人：家人 朋友 伴侣 子女 就这么简单 也如此复杂 穷尽一生所学 所经历 所见所闻 所感所想 不过简单四个字：善待他人 但这又是无数人做不到的 智慧就是善待身边的人 以及珍惜眼前人 感恩自己所得的一切 努力 勤奋 认真地生活 以及 勇敢放弃,2023-09-20 00:33,30,5,0,,,
NpDwVkhpp,https://weibo.cn/comment/NpDwVkhpp?uid=6538187047&rl=0#cmtfrm,:回想到此的人生，最后悔的事是浪费了不少时间。最不后悔的事是养了小狗，遇到了我的宝贝黑球。我爸妈都在30多岁时连根拔起，搬到新的城市，面对完全不同的文化，陌生的语言环境，另一个阶层的生活，重启了他们的人生。跌跌撞撞，惨烈得很。我爸在40岁还辞去公职去读博士，过了好几年月收入3000的日子，那些年，家里就靠着我妈妈。从小长到大，我也吃了很多苦，但是这些苦我不对任何人说。这些苦给了我力量，教会我在任何年龄都可以从根拔起，从头再来，以及永远往前看。人生的苦是吃不完的。人并不需要吃苦，只需要学会坚强，面对生活的悲欢离合。道理说出来很容易，但做起来很艰难的。但是我已经准备好了。我会一步步，摸索着，摸索着，走到我想去的地方。希望那个地方，有对的人在等着我。,2023-10-26 14:37,36,5,6,,,
MDvxjqOVC,https://weibo.cn/comment/MDvxjqOVC?uid=6538187047&rl=0#cmtfrm,[哇]  原图 ,2023-04-24 21:16,11,5,0,,,
Ny97bbEHd,https://weibo.cn/comment/Ny97bbEHd?uid=6538187047&rl=0#cmtfrm,:我认识的朋友里，真正渴望婚姻的90后女生一个都没有。还有3-4个不婚主义，已经领养了小孩了，还是个黑人小孩。渴望婚姻一般都是受原生家庭影响，是认知缺陷。因为意识不到婚姻的不平等和结构性压抑。渴望恋爱和陪伴倒是很多，但真没有体面、有自尊、世俗条件尚可的人渴望把自己“嫁掉”。渴望把自己嫁掉，是心理问题，需要好好自我认知，自我面对，然后把心态调整正常了再谈恋爱，至于婚姻那更是后话。,2023-12-21 13:44,15,5,3,,,
